Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,113.404,121.266,112.789,121.058,121.058,10244718.025352
2021-02-25,119.439,119.489,111.975,112.303,112.303,11517651.617613
2021-02-26,114.864,118.526,111.816,116.491,116.491,11795342.724581
2021-03-01,119.449,120.73,117.752,120.502,120.502,7109807.5112673
2021-03-02,120.095,120.164,115.559,115.816,115.816,6599501.895452
2021-03-03,116.581,118.139,113.454,113.781,113.781,7362526.809514
2021-03-04,113.683,114.824,105.593,106.694,106.694,12613922.785294
2021-03-05,110.0,112.71,104.143,111.826,111.826,10107377.610941
2021-03-08,111.181,112.492,103.994,104.173,104.173,12267126.250186
2021-03-09,108.679,113.306,107.836,112.59,112.59,12215661.374378
2021-03-10,114.139,114.834,110.963,111.062,111.062,8948394.3300878
2021-03-11,115.589,116.164,113.98,115.519,115.519,7827558.3658594
2021-03-12,112.909,114.785,111.707,112.66,112.66,7533850.7254261
2021-03-15,112.987,113.771,111.479,113.236,113.236,7171449.7063031
2021-03-16,115.36,119.539,115.251,116.8,116.8,10533787.338945
2021-03-17,114.526,119.41,113.256,118.189,118.189,8463761.7122803
2021-03-18,116.174,117.077,112.482,112.65,112.65,9176104.5437472
2021-03-19,112.869,115.389,110.536,113.216,113.216,13234105.568425
2021-03-22,115.926,119.737,115.3,117.623,117.623,11483084.799161
2021-03-23,118.189,118.477,113.901,114.715,114.715,8383823.1111379
2021-03-24,120.899,123.995,118.695,119.37,119.37,20546566.858339
2021-03-25,117.057,118.755,114.555,118.01,118.01,10532368.841077
2021-03-26,117.961,127.122,117.464,126.804,126.804,14240833.050673
2021-03-29,125.226,126.0,121.693,123.906,123.906,10692624.846769
2021-03-30,123.101,126.07,122.08,124.949,124.949,8086639.7479432
2021-03-31,128.105,133.555,127.142,131.697,131.697,18859497.37297
2021-04-01,136.164,140.323,135.232,139.489,139.489,16160527.119448
2021-04-05,143.421,143.917,139.709,141.0,141.0,14586174.8195
2021-04-06,141.822,143.232,134.983,137.554,137.554,18266209.631821
2021-04-07,138.239,139.838,134.865,137.157,137.157,13901725.418786
2021-04-08,138.587,139.659,136.234,137.366,137.366,10386667.550378
2021-04-09,136.343,138.17,135.52,136.93,136.93,9777153.724941
