Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,217.752,218.622,215.708,217.859,217.859,2840231.6847814
2021-02-25,217.859,218.358,214.947,215.523,215.523,2923345.6984497
2021-02-26,218.181,218.181,211.827,213.059,213.059,3645780.9696069
2021-03-01,213.968,215.924,213.362,215.064,215.064,2299363.6098383
2021-03-02,215.034,215.884,213.411,213.792,213.792,2541759.7085985
2021-03-03,211.74,213.792,209.637,212.14,212.14,2756063.1480007
2021-03-04,215.817,215.864,208.64,210.213,210.213,3776081.5683919
2021-03-05,210.722,216.118,209.764,215.728,215.728,3189442.4854295
2021-03-08,216.061,219.952,214.75,215.807,215.807,3273889.2281133
2021-03-09,217.869,220.832,216.715,216.921,216.921,3227397.1349397
2021-03-10,219.267,221.174,216.95,217.83,217.83,2438645.5543532
2021-03-11,218.495,221.633,216.715,218.984,218.984,2368953.9527126
2021-03-12,218.104,218.592,216.628,218.221,218.221,1850175.63107
2021-03-15,217.869,223.706,217.683,223.511,223.511,3073063.4327931
2021-03-16,225.563,229.259,224.146,227.646,227.646,3574752.5476873
2021-03-17,227.636,232.936,226.61,231.391,231.391,3436709.2331324
2021-03-18,227.822,234.109,227.822,231.528,231.528,3233652.676505
2021-03-19,232.515,234.353,228.887,232.974,232.974,13290534.246906
2021-03-22,229.592,236.601,229.592,236.534,236.534,2174422.5659588
2021-03-23,236.807,236.817,231.997,232.124,232.124,2749770.785066
2021-03-24,232.084,234.344,230.96,232.534,232.534,2362079.6075752
2021-03-25,234.02,234.49,232.066,233.267,233.267,2858266.9961647
2021-03-26,233.003,239.925,232.603,239.534,239.534,2785762.6510145
2021-03-29,238.274,243.064,238.195,241.519,241.519,2626602.2810054
2021-03-30,239.828,240.62,235.711,236.591,236.591,2089147.3424593
2021-03-31,236.093,236.768,234.324,235.693,235.693,3770683.1464852
2021-04-01,236.572,236.817,233.414,236.035,236.035,2298147.4818263
2021-04-05,235.927,239.32,235.927,238.734,238.734,2354691.8088953
2021-04-06,238.46,239.232,235.154,235.966,235.966,2153645.0853576
2021-04-07,235.087,237.032,234.07,235.037,235.037,1671790.414877
2021-04-08,235.966,236.327,233.013,233.864,233.864,1724516.5704837
