Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,158.338,158.562,156.269,157.977,157.977,60225500
2021-02-25,156.837,158.913,152.388,152.858,152.858,90676020
2021-02-26,154.76,156.122,151.835,154.646,154.646,85518600
2021-03-01,156.394,157.478,154.9,157.307,157.307,54679260
2021-03-02,157.174,158.176,154.356,154.727,154.727,51915240
2021-03-03,154.059,155.389,149.75,150.25,150.25,79774500
2021-03-04,150.6,152.906,147.272,148.878,148.878,109631560
2021-03-05,150.25,150.45,144.05,150.023,150.023,107771020
2021-03-08,150.75,153.23,147.566,147.598,147.598,83700160
2021-03-09,150.9,154.548,150.257,153.142,153.142,80600640
2021-03-10,154.922,155.823,151.502,152.882,152.882,60249780
2021-03-11,155.2,156.589,154.146,155.68,155.68,55527820
2021-03-12,153.75,154.949,152.275,154.474,154.474,48437760
2021-03-15,153.728,154.112,151.604,154.084,154.084,58371840
2021-03-16,155.248,156.445,153.793,154.593,154.593,50775280
2021-03-17,153.661,158.652,153.511,156.786,156.786,62371680
2021-03-18,155.05,155.832,151.25,151.4,151.4,73140540
2021-03-19,151.462,153.864,150.832,153.748,153.748,92507080
2021-03-22,153.392,156.329,153.002,155.544,155.544,58043580
2021-03-23,156.35,159.1,156.043,156.875,156.875,76345260
2021-03-24,157.552,158.016,154.258,154.354,154.354,59179620
2021-03-25,153.65,155.489,151.857,152.313,152.313,71269380
2021-03-26,152.203,152.833,149.8,152.602,152.602,66258480
2021-03-29,152.772,154.562,151.422,153.786,153.786,54919360
2021-03-30,153.501,153.65,151.7,152.764,152.764,46752060
2021-03-31,153.203,155.966,153.125,154.704,154.704,61877920
2021-04-01,155.897,158.122,155.778,158.05,158.05,58806360
2021-04-05,158.65,161.798,158.062,161.336,161.336,66697640
2021-04-06,161.188,162.366,160.852,161.191,161.191,50756180
2021-04-07,161.69,165.181,161.182,163.969,163.969,66924540
2021-04-08,165.545,166.225,164.6,164.965,164.965,56241800
2021-04-09,165.235,168.61,164.445,168.61,168.61,86829460
2021-04-12,167.76,169.752,167.558,168.969,168.969,65635960
2021-04-13,170.042,171.6,169.782,170.0,170.0,66316740
2021-04-14,170.202,170.206,166.3,166.65,166.65,62904080
2021-04-15,168.55,169.85,167.6,168.954,168.954,64671600
2021-04-16,169.0,170.34,167.78,169.972,169.972,63720980
2021-04-19,169.516,171.797,168.008,168.6,168.6,54508100
2021-04-20,168.68,169.15,165.8,166.734,166.734,52460640
2021-04-21,165.8,168.143,165.19,168.101,168.101,44223320
2021-04-22,168.584,168.644,165.072,165.452,165.452,51611800
2021-04-23,165.955,168.75,165.425,167.044,167.044,63933040
2021-04-26,167.4,171.422,166.547,170.45,170.45,97614160
2021-04-27,172.174,173.0,169.901,170.872,170.872,76542800
2021-04-28,171.74,174.494,171.25,172.925,172.925,92637680
2021-04-29,175.255,175.722,171.75,173.566,173.566,153647620
2021-04-30,176.256,177.7,173.125,173.371,173.371,140186920
2021-05-03,174.236,174.332,168.635,169.324,169.324,117510600
2021-05-04,167.81,168.399,163.606,165.594,165.594,108788980
2021-05-05,166.943,167.735,163.218,163.527,163.527,74226160
