Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,564.451,586.729,556.786,585.793,585.793,1039344.4963493
2021-02-25,573.608,577.312,550.993,551.103,551.103,1309223.3982315
2021-02-26,563.465,564.6,552.009,558.3,558.3,961533.87676486
2021-03-01,563.495,575.301,560.041,574.515,574.515,690395.20112063
2021-03-02,570.066,570.881,554.278,554.418,554.418,707302.69108378
2021-03-03,555.841,557.184,532.817,535.176,535.176,1022742.4060859
2021-03-04,529.522,532.946,494.314,502.596,502.596,1729339.8649681
2021-03-05,519.787,522.624,500.446,518.88,518.88,1391712.4599287
2021-03-08,518.284,520.971,493.349,494.414,494.414,1199330.7410968
2021-03-09,519.458,534.798,516.821,531.164,531.164,1259988.7472747
2021-03-10,531.702,533.424,513.027,515.228,515.228,890631.92078573
2021-03-11,538.52,539.983,531.632,535.963,535.963,1025614.5697108
2021-03-12,525.849,530.726,520.414,529.303,529.303,726246.51391414
2021-03-15,530.328,539.327,527.7,538.72,538.72,591615.47648571
2021-03-16,537.914,547.131,537.505,540.869,540.869,661823.25091019
2021-03-17,539.715,557.284,534.46,550.904,550.904,854621.88051664
2021-03-18,539.476,543.925,530.666,530.836,530.836,802576.34679587
2021-03-19,536.241,548.455,532.927,538.948,538.948,1426732.964986
2021-03-22,558.847,569.04,555.094,567.069,567.069,1236078.1609043
2021-03-23,560.698,562.43,546.902,550.216,550.216,879915.80697487
2021-03-24,578.088,585.246,569.05,569.618,569.618,2155051.9775214
2021-03-25,562.062,576.764,560.271,574.963,574.963,1105995.9716371
2021-03-26,579.571,617.587,579.571,615.974,615.974,1964056.6125901
2021-03-29,605.234,607.294,592.124,598.584,598.584,1234067.9477483
2021-03-30,590.631,596.872,586.291,591.974,591.974,1088601.2486002
2021-03-31,596.772,611.315,595.817,607.792,607.792,1604448.4659944
2021-04-01,610.201,629.581,610.151,627.222,627.222,1938281.4806838
2021-04-05,641.556,642.87,628.148,630.567,630.567,1554183.0910505
2021-04-06,623.599,625.899,608.797,618.273,618.273,1302349.8957759
2021-04-07,617.447,621.618,612.55,616.85,616.85,833471.94669644
2021-04-08,626.107,631.652,622.942,629.969,629.969,879558.16785265
2021-04-09,624.514,628.815,618.821,624.494,624.494,641174.61462366
2021-04-12,621.777,621.797,611.007,620.662,620.662,751486.19174147
2021-04-13,625.779,626.884,614.063,619.368,619.368,721729.81308976
2021-04-14,625.819,631.154,617.328,621.21,621.21,729565.72644167
2021-04-15,623.957,632.946,617.795,632.14,632.14,995862.20947612
2021-04-16,630.337,637.903,628.586,635.684,635.684,614775.62346196
2021-04-19,627.76,629.352,612.808,620.344,620.344,1157162.4766165
2021-04-20,616.322,618.065,603.283,607.373,607.373,1003522.3170798
2021-04-21,627.84,645.687,626.077,645.339,645.339,2194904.6291457
2021-04-22,653.879,655.552,630.557,637.067,637.067,1252762.6287183
2021-04-23,649.002,660.877,648.166,660.509,660.509,1143809.2765814
2021-04-26,656.627,665.177,656.627,660.051,660.051,813650.09972896
2021-04-27,659.942,664.391,651.53,662.39,662.39,688918.43283508
2021-04-28,654.158,660.459,651.032,655.034,655.034,580247.3744998
2021-04-29,655.96,656.298,643.926,652.207,652.207,512309.00113452
2021-04-30,644.134,650.804,635.693,638.053,638.053,584256.75016485
2021-05-03,649.121,649.489,639.256,645.887,645.887,680882.60323229
2021-05-04,627.372,630.885,607.871,620.782,620.782,1525716.624289
2021-05-05,633.613,643.468,627.521,633.493,633.493,960855.76887864
2021-05-06,629.999,636.23,621.707,635.932,635.932,626661.09664995
2021-05-07,643.268,652.655,639.256,649.977,649.977,581455.91344369
2021-05-10,639.844,640.172,618.343,619.079,619.079,894359.00264927
2021-05-11,608.08,625.391,606.597,622.425,622.425,903055.86186561
2021-05-12,606.965,611.614,592.432,594.025,594.025,1122336.8647886
2021-05-13,613.525,620.542,603.82,614.959,614.959,1455328.0210949
2021-05-14,621.917,642.641,617.248,639.306,639.306,1348618.9549104
2021-05-17,623.648,627.77,615.167,627.053,627.053,941963.18086635
2021-05-18,633.035,635.354,623.37,623.938,623.938,653292.15139938
2021-05-19,600.077,622.743,598.723,622.543,622.543,1063457.0081791
2021-05-20,624.435,643.736,623.509,640.302,640.302,1101444.1096631
2021-05-21,637.435,638.908,627.879,630.875,630.875,858729.70740073
2021-05-24,639.048,653.611,637.335,650.355,650.355,804507.19621412
2021-05-25,662.41,670.582,658.568,663.515,663.515,1103171.0244133
2021-05-26,658.508,660.797,651.242,657.075,657.075,604961.64429084
2021-05-27,652.366,659.146,650.336,656.408,656.408,661357.11452619
2021-05-28,660.3,667.158,658.239,666.65,666.65,623814.04813209
2021-06-01,675.798,679.104,659.802,663.028,663.028,1309221.389023
2021-06-02,661.763,669.866,660.041,665.287,665.287,604909.40486849
2021-06-03,658.638,661.653,651.49,657.194,657.194,620164.3207978
2021-06-04,666.003,675.092,664.311,674.375,674.375,538047.96728697
2021-06-07,671.3,675.48,667.656,673.081,673.081,602120.62339863
2021-06-08,681.661,683.085,667.716,671.847,671.847,570452.48280991
2021-06-09,676.057,679.074,671.926,673.688,673.688,446550.61904793
2021-06-10,680.357,695.587,677.6,690.81,690.81,810797.02358544
2021-06-11,689.087,689.814,682.328,687.933,687.933,450984.94232169
2021-06-14,690.382,700.365,686.47,700.077,700.077,645012.20295754
2021-06-15,698.364,701.689,687.773,692.621,692.621,517433.48754582
2021-06-16,696.831,700.694,684.647,689.924,689.924,599015.39158188
2021-06-17,682.338,695.338,682.08,689.704,689.704,756584.55844159
2021-06-18,676.405,678.237,659.852,662.311,662.311,1632191.6176772
2021-06-21,669.637,673.051,663.624,671.767,671.767,573105.64270252
2021-06-22,671.608,678.596,667.437,676.863,676.863,549419.08308571
2021-06-23,677.57,680.228,670.682,672.753,672.753,530471.24183825
2021-06-24,682.646,688.849,681.661,685.932,685.932,475632.90823052
2021-06-25,684.877,686.48,677.023,677.251,677.251,437135.46777434
2021-06-28,689.804,696.583,689.555,694.92,694.92,632325.05555739
2021-06-29,690.82,696.065,689.087,694.492,694.492,405268.41553899
2021-06-30,685.534,687.475,677.63,681.821,681.821,777640.05945987
2021-07-01,678.267,682.656,665.725,670.443,670.443,1010841.8638339
2021-07-02,679.502,680.865,674.774,678.566,678.566,455714.61925255
2021-07-06,680.437,684.499,667.865,676.923,676.923,799115.48506545
2021-07-07,684.977,686.638,675.44,681.173,681.173,448861.20888247
2021-07-08,662.221,666.78,656.149,664.889,664.889,860634.43710781
2021-07-09,675.042,683.951,670.065,682.338,682.338,591388.43591936
2021-07-12,690.869,699.26,690.043,698.574,698.574,626869.04973506
2021-07-13,697.031,701.381,694.412,697.2,697.2,631586.67141462
2021-07-14,710.578,713.574,703.581,707.154,707.154,863383.03440663
2021-07-15,703.272,703.959,687.743,694.752,694.752,739038.14015899
2021-07-16,693.706,697.758,677.909,678.446,678.446,586250.88965248
2021-07-19,665.048,675.39,662.828,675.072,675.072,866587.7220467
2021-07-20,668.024,679.671,664.152,675.122,675.122,816207.82221536
2021-07-21,696.722,711.673,691.546,711.583,711.583,1298646.924415
2021-07-22,723.429,730.387,714.739,720.393,720.393,958776.23802756
2021-07-23,738.032,746.901,733.394,738.37,738.37,1084319.6251763
2021-07-26,748.304,749.1,738.609,744.253,744.253,701068.11694764
2021-07-27,741.356,742.332,723.489,735.872,735.872,893082.15061462
2021-07-28,740.212,751.101,735.673,749.937,749.937,726311.81319207
2021-07-29,751.689,757.871,749.937,755.711,755.711,642426.35155141
2021-07-30,750.833,758.667,746.911,756.736,756.736,494633.99350461
2021-08-02,760.748,765.714,758.388,759.603,759.603,506555.63244653
2021-08-03,760.468,770.263,757.492,769.358,769.358,540765.42185324
2021-08-04,781.671,788.152,777.51,785.105,785.105,638174.86625586
2021-08-05,794.99,795.119,780.008,784.378,784.378,733386.23650286
2021-08-06,774.255,776.913,769.716,773.05,773.05,564349.51183392
2021-08-09,779.909,781.91,775.35,778.387,778.387,483435.66964132
2021-08-10,785.205,786.638,773.598,778.983,778.983,597400.99251053
2021-08-11,780.815,782.985,771.219,778.913,778.913,427226.05119701
2021-08-12,778.406,778.406,768.362,770.881,770.881,775205.90329939
2021-08-13,768.97,779.282,766.401,778.665,778.665,460792.89386715
2021-08-16,777.54,780.646,769.557,777.072,777.072,432377.66192375
2021-08-17,771.558,773.16,760.339,766.421,766.421,490021.85527403
2021-08-18,766.093,775.131,761.952,762.37,762.37,458670.1650322
2021-08-19,751.928,773.777,751.271,771.309,771.309,520916.45057031
2021-08-20,774.833,780.556,767.854,777.889,777.889,514475.93255761
2021-08-23,784.657,801.897,784.2,801.022,801.022,733853.37749114
2021-08-24,795.577,797.169,791.118,795.089,795.089,459815.41390671
2021-08-25,797.867,802.754,794.502,797.329,797.329,477348.77233373
2021-08-26,797.717,805.183,793.665,800.355,800.355,456078.28600043
2021-08-27,803.62,823.876,803.152,822.045,822.045,667765.48520205
2021-08-30,828.973,832.009,825.837,828.635,828.635,497532.27684054
2021-08-31,832.765,833.144,816.421,822.165,822.165,586949.08962422
2021-09-01,827.769,839.614,825.778,831.173,831.173,589847.37296015
2021-09-02,841.037,850.802,837.783,850.036,850.036,757085.85597525
2021-09-03,837.444,851.719,837.444,846.9,846.9,707526.71783731
2021-09-07,853.998,857.532,846.562,850.524,850.524,791451.35904472
2021-09-08,846.412,848.673,838.828,846.792,846.792,724571.83858624
2021-09-09,844.313,851.499,840.978,842.362,842.362,650530.49424497
2021-09-10,859.572,863.933,846.204,847.667,847.667,1152754.2730539
