Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,278.75,285.705,276.675,282.74,282.74,889321
2021-02-25,284.26,284.4,274.71,277.26,277.26,1024064
2021-02-26,278.28,278.92,269.31,272.88,272.88,1535100
2021-03-01,274.42,275.645,271.39,273.24,273.24,1060208
2021-03-02,273.0,275.64,269.5,269.85,269.85,1258219
2021-03-03,267.8,269.28,263.8,266.6,266.6,1037052
2021-03-04,266.57,270.3,262.48,263.57,263.57,1291484
2021-03-05,265.83,273.33,262.445,270.71,270.71,1062495
2021-03-08,270.7,278.87,267.485,270.01,270.01,1164033
2021-03-09,272.59,278.24,266.385,266.49,266.49,1769111
2021-03-10,269.52,269.52,262.6,262.61,262.61,1736392
2021-03-11,263.06,268.0,260.55,267.44,267.44,1596289
2021-03-12,266.66,267.49,261.72,266.13,266.13,1034318
2021-03-15,268.02,271.43,250.42,260.13,260.13,2830150
2021-03-16,261.81,265.99,258.07,259.92,259.92,1421614
2021-03-17,258.5,267.29,257.22,264.15,264.15,1092878
2021-03-18,262.01,267.03,261.52,262.27,262.27,885240
2021-03-19,261.43,269.35,261.115,267.07,267.07,2117916
2021-03-22,267.34,273.86,266.0,272.34,272.34,1169188
2021-03-23,272.73,273.1,266.0,267.21,267.21,888091
2021-03-24,267.04,270.745,265.66,265.69,265.69,951795
2021-03-25,267.47,279.9994,264.36,273.97,273.97,1685338
2021-03-26,272.21,277.11,271.027,276.63,276.63,665479
2021-03-29,275.75,278.6,273.135,276.08,276.08,794743
2021-03-30,273.79,279.45,273.065,276.01,276.01,882170
2021-03-31,276.32,280.83,274.39,279.75,279.75,1135903
2021-04-01,280.0,281.88,278.0,278.71,278.71,996386
2021-04-05,279.24,279.92,276.63,277.88,277.88,744858
2021-04-06,276.17,276.5,271.3,271.76,271.76,1006540
2021-04-07,272.0,272.0,267.18,268.02,268.02,851417
2021-04-08,272.2,272.2,265.37,265.73,265.73,800861
2021-04-09,265.73,268.59,263.5,268.17,268.17,874126
2021-04-12,267.31,268.275,262.55,262.8,262.8,753596
2021-04-13,264.91,266.97,262.42,266.19,266.19,823301
2021-04-14,267.44,270.38,264.63,265.79,265.79,697428
2021-04-15,265.71,272.0,265.71,270.44,270.44,986472
2021-04-16,270.61,273.83,269.79,270.31,270.31,1014812
2021-04-19,269.55,270.77,265.44,269.05,269.05,884651
2021-04-20,269.01,274.81,268.21,273.2,273.2,841218
2021-04-21,272.63,273.385,266.5,269.85,269.85,1053017
2021-04-22,260.0,264.52,257.03,259.0,259.0,2411329
2021-04-23,260.33,263.94,258.292,262.63,262.63,911417
2021-04-26,264.45,270.49,261.22,269.46,269.46,1115728
2021-04-27,269.07,270.6833,265.88,267.39,267.39,749814
2021-04-28,268.25,270.86,265.81,267.6,267.6,691753
2021-04-29,268.42,269.12,264.4,265.33,265.33,530615
2021-04-30,264.38,269.71,264.02,267.33,267.33,894475
2021-05-03,267.87,275.55,267.725,275.31,275.31,981793
2021-05-04,273.7,273.7,269.94,271.02,271.02,954781
2021-05-05,271.0,273.32,269.47,271.57,271.57,787589
2021-05-06,268.67,273.03,268.495,272.11,272.11,929609
2021-05-07,270.66,279.2,270.66,274.04,274.04,936142
