Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,131.6,140.2,129.81,139.42,139.42,3097634
2021-02-25,138.43,142.64,137.275,138.02,138.02,3037908
2021-02-26,139.06,143.32,137.735,141.09,141.09,2526035
2021-03-01,143.23,147.6,142.13,147.44,147.44,2043782
2021-03-02,147.66,147.98,141.08,142.15,142.15,2813806
2021-03-03,141.17,141.7,133.69,133.74,133.74,2497300
2021-03-04,133.96,134.81,127.27,128.81,128.81,2715235
2021-03-05,130.81,130.81,122.62,126.69,126.69,3755421
2021-03-08,125.0651,125.86,119.65,119.68,119.68,3490418
2021-03-09,123.7,128.68,123.27,127.3,127.3,2365088
2021-03-10,128.97,130.545,126.69,126.88,126.88,2048322
2021-03-11,129.135,132.18,129.135,130.13,130.13,2582512
2021-03-12,127.05,127.15,124.61,125.74,125.74,1760655
2021-03-15,125.62,129.46,124.44,129.39,129.39,1240679
2021-03-16,130.31,132.61,129.092,129.39,129.39,1206045
2021-03-17,127.81,130.09,125.27,128.49,128.49,1473888
2021-03-18,125.46,126.94,123.42,124.03,124.03,1755456
2021-03-19,124.55,126.52,122.75,125.48,125.48,2593264
2021-03-22,126.3,129.9,126.3,127.97,127.97,1348115
2021-03-23,128.3,129.83,127.85,128.25,128.25,1517604
2021-03-24,128.98,129.29,126.08,126.97,126.97,1778316
2021-03-25,126.65,127.15,123.76,125.67,125.67,1735000
2021-03-26,126.08,132.74,126.06,132.58,132.58,2347437
2021-03-29,132.15,133.9,130.3,132.75,132.75,1956234
2021-03-30,131.65,132.43,128.37,130.87,130.87,1579741
2021-03-31,132.39,138.09,132.19,136.99,136.99,2619600
2021-04-01,138.46,142.78,138.41,141.49,141.49,1887891
2021-04-05,142.0,146.06,141.64,145.87,145.87,1828614
2021-04-06,144.23,145.47,142.4,143.46,143.46,1882981
2021-04-07,142.43,143.53,141.55,142.56,142.56,976084
2021-04-08,144.45,145.81,143.68,145.46,145.46,1190926
2021-04-09,144.98,146.0,144.12,145.35,145.35,1310955
2021-04-12,144.54,144.99,143.28,144.79,144.79,1120079
2021-04-13,145.71,147.705,144.91,146.15,146.15,1059167
2021-04-14,146.1,147.25,143.99,144.61,144.61,1294736
2021-04-15,146.1,148.27,146.1,147.59,147.59,1098927
2021-04-16,147.62,147.94,145.08,147.26,147.26,1011265
2021-04-19,145.67,147.01,140.43,141.94,141.94,1974364
2021-04-20,140.59,142.17,140.07,140.94,140.94,1700985
2021-04-21,141.41,141.92,139.82,141.5,141.5,1597051
2021-04-22,142.63,142.87,138.951,140.06,140.06,2163029
2021-04-23,141.59,143.13,140.91,142.08,142.08,1992135
2021-04-26,141.39,144.41,140.4,144.23,144.23,2345344
2021-04-27,135.53,136.9103,130.45,132.75,132.75,6075643
2021-04-28,132.18,133.66,130.27,133.27,133.27,2666959
2021-04-29,133.66,134.485,132.38,133.46,133.46,1404173
2021-04-30,131.26,133.94,131.03,131.77,131.77,1862612
2021-05-03,132.32,133.18,129.51,129.62,129.62,1488688
2021-05-04,127.85,128.46,124.64,126.35,126.35,1903021
2021-05-05,127.11,128.76,126.32,126.89,126.89,2090445
2021-05-06,125.79,127.0,124.44,126.9,126.9,1710010
2021-05-07,129.04,131.48,128.44,129.05,129.05,1613178
2021-05-10,127.87,129.04,124.07,124.14,124.14,1664781
2021-05-11,121.3327,126.61,120.56,125.83,125.83,1808090
2021-05-12,122.88,124.4,121.33,121.78,121.78,1575577
2021-05-13,123.41,124.34,120.57,122.07,122.07,1655615
2021-05-14,123.53,124.89,122.055,124.28,124.28,1253461
2021-05-17,123.07,123.22,120.08,121.835,121.835,1222626
2021-05-18,122.21,123.5,121.11,121.14,121.14,1768575
2021-05-19,118.64,122.44,118.11,122.32,122.32,1647499
2021-05-20,123.54,126.04,123.1,125.25,125.25,1501655
2021-05-21,126.09,126.46,123.06,123.46,123.46,1471566
2021-05-24,125.23,127.24,125.22,126.33,126.33,1345339
2021-05-25,127.29,127.86,126.36,127.49,127.49,1398570
2021-05-26,128.19,129.055,126.56,126.83,126.83,1220217
2021-05-27,126.66,128.72,125.31,127.13,127.13,2201664
2021-05-28,128.52,128.52,126.9,126.99,126.99,1223225
2021-06-01,126.12,127.67,124.32,125.75,125.75,1274796
2021-06-02,125.84,126.53,123.91,124.53,124.53,1812117
2021-06-03,123.04,125.27,122.035,123.94,123.94,1331165
2021-06-04,124.81,127.07,124.665,126.75,126.75,1005057
2021-06-07,125.89,126.69,124.27,124.93,124.93,1097258
2021-06-08,126.26,127.4,124.995,125.22,125.22,1488264
2021-06-09,126.13,126.95,124.7811,125.19,125.19,1469616
2021-06-10,124.99,128.6,124.51,128.51,128.51,2155211
2021-06-11,127.94,129.35,127.94,129.28,129.28,1032508
2021-06-14,129.66,131.01,128.9517,130.96,130.96,1055149
2021-06-15,130.76,131.22,129.05,129.46,129.46,1042540
2021-06-16,129.24,130.43,126.73,128.2,128.2,1128469
2021-06-17,127.03,131.49,127.03,130.91,130.91,1346148
2021-06-18,130.55,131.8785,129.875,130.47,130.47,2661742
2021-06-21,130.93,132.775,128.92,132.13,132.13,1677606
2021-06-22,131.97,134.15,131.31,134.04,134.04,1251206
2021-06-23,133.97,134.955,132.87,133.0,133.0,1537070
2021-06-24,134.35,135.6,134.01,135.02,135.02,1235822
2021-06-25,135.7,136.66,134.2,134.76,134.76,2070705
2021-06-28,135.78,137.23,135.53,137.1,137.1,1245148
2021-06-29,136.9678,138.525,134.84,138.35,138.35,916684
2021-06-30,138.0,138.765,136.47,136.82,136.82,2140889
2021-07-01,136.04,137.0,135.04,136.93,136.93,1018412
2021-07-02,137.48,138.44,137.32,137.94,137.94,715238
2021-07-06,138.33,139.01,136.94,138.67,138.67,1118251
2021-07-07,139.77,140.545,137.6,139.1,139.1,1336187
2021-07-08,137.16,137.89,135.35,137.31,137.31,1238375
2021-07-09,136.84,138.84,135.71,138.5,138.5,988665
2021-07-12,138.85,139.6,137.05,137.73,137.73,813655
2021-07-13,137.79,138.71,137.16,137.72,137.72,686249
2021-07-14,138.43,140.24,138.0,138.83,138.83,1044070
2021-07-15,139.19,139.19,136.675,137.55,137.55,1056440
2021-07-16,138.09,139.47,137.23,137.67,137.67,752173
2021-07-19,136.37,137.93,136.1,137.72,137.72,1119799
2021-07-20,137.97,140.78,136.33,139.79,139.79,1356115
2021-07-21,139.41,140.84,138.88,140.76,140.76,931789
2021-07-22,140.68,143.14,140.48,143.02,143.02,825980
2021-07-23,143.59,146.65,143.26,145.67,145.67,1256020
2021-07-26,145.0,145.63,144.38,144.97,144.97,1121311
2021-07-27,145.51,145.735,140.89,143.27,143.27,1537895
2021-07-28,143.3,144.91,142.16,144.59,144.59,1428425
2021-07-29,144.56,146.32,144.33,145.8,145.8,1038665
2021-07-30,144.91,148.115,144.73,147.65,147.65,1478560
2021-08-02,147.82,148.14,145.81,147.29,147.29,834912
2021-08-03,147.55,150.29,147.505,149.85,149.85,1701824
2021-08-04,150.0,152.03,149.0,151.08,151.08,1501756
2021-08-05,151.53,152.0,149.79,151.76,151.76,1003439
2021-08-06,150.74,151.5,149.17,151.07,151.07,762273
2021-08-09,151.0,151.44,150.12,150.29,150.29,508858
2021-08-10,151.32,151.61,148.01,149.05,149.05,782241
2021-08-11,149.58,150.6927,148.6504,150.53,150.53,899028
2021-08-12,149.7,153.18,149.25,152.26,152.26,1033981
2021-08-13,152.32,153.33,151.72,152.67,152.67,848902
2021-08-16,152.26,152.82,150.78,151.87,151.87,784600
2021-08-17,151.505,151.505,148.97,149.59,149.59,895484
2021-08-18,149.18,149.69,147.89,148.02,148.02,974774
2021-08-19,147.77,153.98,147.2216,153.27,153.27,1435650
2021-08-20,152.95,156.92,152.315,156.67,156.67,1747801
2021-08-23,155.64,158.63,155.415,158.32,158.32,834380
2021-08-24,158.71,159.04,158.05,158.58,158.58,867392
2021-08-25,158.75,159.33,157.7,158.63,158.63,1129807
2021-08-26,158.39,160.63,158.1,159.37,159.37,832641
2021-08-27,159.9,162.98,159.62,162.47,162.47,865639
2021-08-30,163.22,164.44,163.0,163.89,163.89,861359
2021-08-31,164.53,164.66,162.47,163.48,163.48,1486685
2021-09-01,164.66,165.63,163.86,164.15,164.15,999282
2021-09-02,164.7,165.405,164.04,165.19,165.19,763082
2021-09-03,165.0,167.169,164.835,165.71,165.71,899339
2021-09-07,165.98,166.32,163.391,164.98,164.98,768319
2021-09-08,164.45,166.38,163.61,165.56,165.56,883909
2021-09-09,165.7,166.77,164.85,165.91,165.91,848535
2021-09-10,166.87,168.61,166.43,166.87,166.87,922145
2021-09-13,167.8,168.0,162.07,164.63,164.63,956991
2021-09-14,165.45,166.055,163.75,164.93,164.93,1303148
2021-09-15,165.17,168.125,164.11,167.54,167.54,1014186
2021-09-16,167.16,168.21,165.6,167.61,167.61,983782
2021-09-17,167.0,167.025,162.46,163.63,163.63,2759104
2021-09-20,161.62,162.78,158.96,160.93,160.93,1484276
2021-09-21,162.18,162.49,160.56,160.87,160.87,860945
2021-09-22,161.6,163.07,160.42,162.23,162.23,762922
2021-09-23,163.28,163.99,162.38,163.1,163.1,999587
2021-09-24,162.39,163.83,161.05,163.55,163.55,882304
2021-09-27,161.5,161.8607,157.075,158.16,158.16,1047942
2021-09-28,155.62,157.1,152.25,152.47,152.47,1461299
2021-09-29,153.86,154.625,151.76,152.25,152.25,773250
2021-09-30,153.42,154.26,151.2,151.44,151.44,1008702
2021-10-01,152.34,154.04,149.235,153.01,153.01,1206729
2021-10-04,151.86,152.14,145.84,148.05,148.05,1206835
2021-10-05,148.95,151.23,148.46,150.21,150.21,1207881
2021-10-06,148.32,150.41,147.24,150.04,150.04,1295932
2021-10-07,151.32,153.2103,151.21,152.25,152.25,1384749
2021-10-08,152.65,153.15,149.37,150.12,150.12,581331
2021-10-11,149.58,151.7,148.96,149.52,149.52,690004
2021-10-12,150.74,151.79,149.68,150.16,150.16,710751
2021-10-13,151.72,154.36,151.06,153.5,153.5,1166074
2021-10-14,155.17,157.87,155.17,157.33,157.33,843552
2021-10-15,157.8,157.95,155.19,155.78,155.78,919030
2021-10-18,155.07,157.73,154.46,157.54,157.54,1036323
2021-10-19,158.19,159.28,157.41,158.83,158.83,912251
2021-10-20,160.0,161.71,159.845,160.09,160.09,1238476
2021-10-21,161.19,166.85,160.83,165.45,165.45,1124085
2021-10-22,165.81,167.48,165.38,166.76,166.76,879040
2021-10-25,168.0,169.79,166.94,167.37,167.37,1591187
2021-10-26,170.8165,175.08,167.79,172.93,172.93,1800963
2021-10-27,172.79,173.74,164.645,165.1,165.1,2037943
2021-10-28,165.01,169.18,165.0,168.92,168.92,1037758
2021-10-29,168.28,174.01,168.25,173.11,173.11,1392017
2021-11-01,174.0,174.79,172.97,173.84,173.84,1256798
2021-11-02,174.19,176.5612,173.75,175.55,175.55,904181
2021-11-03,176.055,176.19,171.31,172.97,172.97,1459829
2021-11-04,172.97,179.72,172.5,179.56,179.56,1232253
2021-11-05,180.1,180.63,177.13,178.0,178.0,841178
2021-11-08,179.64,179.64,177.47,179.24,179.24,645913
2021-11-09,179.53,182.58,178.7,182.37,182.37,1366340
2021-11-10,181.71,182.13,177.44,177.48,177.48,889420
2021-11-11,179.06,179.5499,176.88,177.23,177.23,655147
2021-11-12,178.5308,181.47,177.73,181.44,181.44,686879
2021-11-15,182.78,183.178,179.85,182.34,182.34,780449
2021-11-16,182.16,187.07,181.97,186.92,186.92,949399
2021-11-17,186.16,188.595,185.57,187.74,187.74,1186064
2021-11-18,187.8,187.8,185.13,186.05,186.05,905156
2021-11-19,187.32,190.09,187.13,188.12,188.12,1177413
2021-11-22,188.21,189.9,183.9453,184.51,184.51,1082369
2021-11-23,183.0,183.49,177.2,181.58,181.58,1618032
2021-11-24,178.85,183.77,177.47,183.47,183.47,1092771
2021-11-26,179.18,185.31,177.14,178.36,178.36,1131224
2021-11-29,181.37,187.51,180.04,186.69,186.69,1511409
2021-11-30,186.0,186.15,176.48,177.46,177.46,3117729
2021-12-01,180.0,181.795,175.02,175.05,175.05,1486603
2021-12-02,178.0,185.76,177.55,184.66,184.66,1804118
2021-12-03,184.89,185.28,175.34,177.87,177.87,2332225
2021-12-06,177.87,178.92,172.89,177.21,177.21,1463756
2021-12-07,181.675,183.515,180.06,182.77,182.77,1564277
2021-12-08,182.94,184.53,181.31,184.21,184.21,1151531
2021-12-09,183.35,186.0,179.61,179.62,179.62,1042861
2021-12-10,181.83,184.57,181.43,184.14,184.14,1249339
2021-12-13,184.0,185.26,182.725,184.13,184.13,1491805
2021-12-14,178.23,178.8,170.55,176.06,176.06,2501030
2021-12-15,176.7,184.41,176.25,184.27,184.27,1813149
2021-12-16,184.0,184.01,177.81,179.62,179.62,1573361
2021-12-17,177.08,182.45,177.08,179.15,179.15,3456064
2021-12-20,175.85,178.62,175.25,177.32,177.32,1255142
2021-12-21,179.58,183.29,176.58,183.03,183.03,980637
