Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,337.617,338.314,333.77,336.53,336.53,3346752.2340162
2021-02-25,336.68,338.812,329.277,329.825,329.825,3662845.5119578
2021-02-26,331.409,331.777,326.895,326.955,326.955,3403825.2446934
2021-03-01,331.109,331.887,327.313,327.711,327.711,4714445.2375971
2021-03-02,329.615,330.601,324.413,324.453,324.453,4717727.7987507
2021-03-03,324.164,324.413,319.81,319.969,319.969,4114491.2043954
2021-03-04,319.421,321.613,311.19,315.146,315.146,5569314.0786688
2021-03-05,311.469,314.548,303.249,313.442,313.442,8203035.0223077
2021-03-08,315.016,318.384,307.125,307.613,307.613,4933759.6612047
2021-03-09,309.925,316.362,308.898,314.887,314.887,5493927.5679943
2021-03-10,317.208,323.387,313.442,319.88,319.88,4579483.9048863
2021-03-11,326.367,327.203,322.719,324.643,324.643,4392584.6472283
2021-03-12,324.095,327.583,321.613,327.094,327.094,3221445.9061536
2021-03-15,329.525,329.605,323.317,326.466,326.466,3284434.7523551
2021-03-16,325.639,325.988,322.64,323.247,323.247,3104644.5326708
2021-03-17,322.012,326.456,320.158,325.171,325.171,2705435.5217971
2021-03-18,322.48,324.135,318.434,319.032,319.032,2772126.4065481
2021-03-19,319.66,325.231,318.444,324.901,324.901,4919381.019747
2021-03-22,324.443,332.057,324.184,330.413,330.413,4115172.6042802
2021-03-23,329.815,338.324,329.715,336.172,336.172,3686272.0199274
2021-03-24,338.045,338.324,332.714,333.91,333.91,3043567.4195776
2021-03-25,333.691,343.536,333.153,342.1,342.1,4360438.4285087
2021-03-26,341.972,348.15,339.898,347.711,347.711,3099091.9766137
2021-03-29,347.143,353.391,346.714,351.807,351.807,3049253.4457152
2021-03-30,349.256,350.441,344.582,345.479,345.479,2634627.1352383
2021-03-31,346.376,353.072,344.96,348.169,348.169,2867265.485607
2021-04-01,348.229,352.953,347.322,350.611,350.611,2974966.8087871
2021-04-05,353.122,358.234,352.474,356.421,356.421,2739135.21183
2021-04-06,355.403,358.353,354.607,355.723,355.723,2168514.4903123
2021-04-07,356.461,357.058,353.231,354.417,354.417,1830743.8649302
2021-04-08,358.353,361.552,355.205,356.819,356.819,2874287.2160844
2021-04-09,356.51,359.25,355.205,358.762,358.762,1630679.2389525
2021-04-12,358.393,360.785,356.939,360.346,360.346,1859329.5434563
2021-04-13,360.875,362.808,359.808,360.745,360.745,1818595.0769984
2021-04-14,360.386,360.386,358.125,358.722,358.722,1528084.9025382
2021-04-15,360.416,365.03,359.808,364.302,364.302,1873226.4883828
2021-04-16,365.18,368.238,364.083,366.186,366.186,2276997.5668211
2021-04-19,366.464,366.992,363.704,365.03,365.03,1579305.3003607
2021-04-20,364.482,370.77,364.232,367.192,367.192,2359496.1260726
2021-04-21,367.072,370.012,366.933,369.524,369.524,1551055.805872
2021-04-22,369.773,370.86,365.498,366.724,366.724,2164457.200571
2021-04-23,366.724,370.282,365.877,368.716,368.716,1422311.3690176
2021-04-26,369.334,369.334,363.714,364.024,364.024,2085222.1353187
2021-04-27,363.674,366.425,360.825,365.678,365.678,1899081.5496974
2021-04-28,365.03,365.966,363.684,365.07,365.07,1321757.2181199
2021-04-29,364.81,370.919,364.8,369.773,369.773,1867171.1615712
2021-04-30,369.146,370.391,367.58,368.328,368.328,2140624.2611531
2021-05-03,370.072,375.792,369.126,375.493,375.493,2713270.1151709
2021-05-04,375.204,375.403,369.982,371.487,371.487,2155580.9384483
2021-05-05,372.543,373.699,368.288,368.736,368.736,1924776.0455017
2021-05-06,369.424,379.061,369.424,378.881,378.881,2668343.8853567
2021-05-07,378.951,382.557,378.323,380.435,380.435,1835920.0955722
2021-05-10,381.601,383.963,377.426,377.615,377.615,2019068.1414931
2021-05-11,375.483,377.077,372.194,374.357,374.357,1878666.6485825
2021-05-12,372.194,373.121,367.362,368.438,368.438,2368508.8688791
2021-05-13,369.324,377.585,367.81,375.702,375.702,2044516.7713595
2021-05-14,378.263,381.931,376.27,380.535,380.535,1895293.2071861
2021-05-17,381.153,383.145,379.021,380.077,380.077,1849459.782238
2021-05-18,382.557,385.507,378.631,378.931,378.931,1715535.1006038
2021-05-19,373.34,377.865,372.324,375.832,375.832,1742933.5978873
2021-05-20,375.353,380.635,374.456,379.698,379.698,1441915.4143048
2021-05-21,381.163,381.461,376.599,376.878,376.878,1723982.8535205
2021-05-24,380.455,381.871,378.024,379.569,379.569,1673940.6051307
2021-05-25,379.737,381.851,378.163,381.491,381.491,1393835.0757454
2021-05-26,381.969,383.823,381.133,381.731,381.731,1664779.339227
2021-05-27,381.243,383.843,379.619,383.585,383.585,4497453.9962184
2021-05-28,380.266,381.421,373.211,374.447,374.447,4730203.7389099
2021-06-01,376.091,376.37,371.696,374.407,374.407,2139391.9208607
2021-06-02,374.556,378.054,373.888,376.749,376.749,1900246.6531824
2021-06-03,375.812,380.305,375.034,379.987,379.987,1798702.0137923
2021-06-04,380.305,383.833,379.827,383.605,383.605,1783963.1034706
2021-06-07,381.581,382.557,374.745,376.569,376.569,2541489.103853
2021-06-08,376.579,377.366,373.869,375.871,375.871,1569914.2250703
2021-06-09,376.38,377.915,375.303,376.131,376.131,1413439.1210327
2021-06-10,376.439,379.479,375.662,379.13,379.13,1418489.9098697
2021-06-11,379.977,379.977,376.689,377.964,377.964,1418635.4223635
2021-06-14,376.948,380.097,375.254,379.877,379.877,1669497.9581644
2021-06-15,379.877,380.615,377.695,380.027,380.027,1264798.6103689
