Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,235.53,241.5,231.51,240.47,240.47,6128260
2021-02-25,238.53,240.35,229.77,231.08,231.08,8828937
2021-02-26,229.39,230.5,216.34,216.5,216.5,20372918
2021-03-01,219.9,220.2,215.03,217.54,217.54,14027677
2021-03-02,218.4,218.6,213.34,213.47,213.47,10211493
2021-03-03,212.83,213.32,205.395,206.0,206.0,11459016
2021-03-04,206.84,209.09,201.51,205.33,205.33,12800545
2021-03-05,210.01,212.35,203.22,210.76,210.76,11405951
2021-03-08,213.62,214.9,207.57,207.72,207.72,9576414
2021-03-09,212.18,215.79,211.17,211.53,211.53,9732242
2021-03-10,214.72,216.15,211.77,211.96,211.96,7186394
2021-03-11,215.0,218.17,214.3537,215.95,215.95,6430984
2021-03-12,213.45,213.85,209.3,212.21,212.21,6114641
2021-03-15,211.85,212.94,209.5,212.8,212.8,5741240
2021-03-16,214.84,216.69,213.475,214.48,214.48,5311048
2021-03-17,213.52,214.81,210.86,213.12,213.12,5805143
2021-03-18,210.7,211.38,208.4,209.48,209.48,5583153
2021-03-19,209.81,212.75,209.07,212.2,212.2,7088442
2021-03-22,211.48,216.98,211.365,215.17,215.17,5002466
2021-03-23,214.76,217.43,214.33,215.0,215.0,4578046
2021-03-24,215.13,215.28,209.41,209.53,209.53,4617736
2021-03-25,206.17,208.17,204.37,205.44,205.44,7977209
2021-03-26,205.64,209.41,204.77,209.09,209.09,7333155
2021-03-29,209.01,211.652,205.99,210.77,210.77,5686945
2021-03-30,208.64,211.29,207.355,210.0,210.0,4717943
2021-03-31,210.44,213.6699,210.11,211.87,211.87,6837964
2021-04-01,213.6,218.93,213.37,218.72,218.72,7763501
2021-04-05,219.61,221.84,218.93,220.29,220.29,5553185
2021-04-06,219.82,221.55,218.25,221.09,221.09,5448464
2021-04-07,221.96,222.68,219.39,220.79,220.79,4403436
2021-04-08,223.0,225.71,222.45,224.45,224.45,6169133
2021-04-09,224.33,231.31,223.63,231.28,231.28,7319270
2021-04-12,229.52,229.85,227.15,228.76,228.76,6205676
2021-04-13,229.0,233.49,228.5,232.0,232.0,5397052
2021-04-14,232.85,233.14,227.66,228.02,228.02,4617597
2021-04-15,229.87,233.08,229.5,233.0,233.0,5073856
2021-04-16,234.0,234.0,229.8935,231.91,231.91,5088749
2021-04-19,230.83,232.1953,228.87,230.5,230.5,4257749
2021-04-20,230.0,231.45,226.89,227.96,227.96,4081214
2021-04-21,227.11,230.79,226.67,230.56,230.56,4024031
2021-04-22,230.0,233.89,229.01,231.35,231.35,4975361
2021-04-23,232.94,235.49,231.75,233.51,233.51,5448503
2021-04-26,234.04,235.8044,232.4155,235.46,235.46,3459634
2021-04-27,235.46,235.9,231.91,234.21,234.21,3445222
2021-04-28,235.0,238.33,233.53,236.88,236.88,4274512
2021-04-29,237.32,237.67,232.17,234.36,234.36,4140803
2021-04-30,232.8,234.5,229.52,230.32,230.32,5024797
2021-05-03,230.77,231.46,223.07,223.76,223.76,5835707
2021-05-04,221.67,222.0,214.3601,217.18,217.18,6727513
2021-05-05,218.82,218.9282,214.84,215.4,215.4,2676876
2021-05-06,215.805,218.28,213.5,218.05,218.05,5200021
2021-05-07,220.51,221.2462,215.09,216.5,216.5,5774748
2021-05-10,215.498,215.96,213.23,213.89,213.89,5263698
2021-05-11,209.0,216.565,208.91,215.56,215.56,6097853
2021-05-12,213.34,213.3699,209.0,210.54,210.54,5482463
