Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,102.14,102.5,99.73,101.13,101.13,2482849
2021-02-25,98.75,99.86,97.69,98.88,98.88,3412249
2021-02-26,99.59,100.715,98.07,98.2,98.2,3058213
2021-03-01,98.8,100.38,98.5,99.23,99.23,1890006
2021-03-02,99.9506,99.9506,96.54,98.95,98.95,3431246
2021-03-03,96.18,104.69,95.86,101.88,101.88,5164505
2021-03-04,101.8,103.94,100.295,101.81,101.81,3035258
2021-03-05,102.47,104.535,100.21,104.08,104.08,2407623
2021-03-08,104.49,109.32,103.24,108.07,108.07,2903410
2021-03-09,108.63,109.87,106.45,107.59,107.59,1822691
2021-03-10,109.0,109.11,107.535,107.83,107.83,1403634
2021-03-11,107.72,108.82,107.02,108.57,108.57,1596851
2021-03-12,108.56,109.34,107.37,108.61,108.61,1102000
2021-03-15,108.56,109.37,107.26,109.3,109.3,1578225
2021-03-16,109.42,110.29,108.2,109.04,109.04,1137258
2021-03-17,108.85,108.96,107.29,107.7,107.7,1703230
2021-03-18,106.0,107.13,104.575,105.25,105.25,2586050
2021-03-19,104.71,108.63,104.565,108.12,108.12,2694885
2021-03-22,108.2,110.75,107.4501,110.25,110.25,2208833
2021-03-23,109.98,111.31,109.63,109.86,109.86,1765655
2021-03-24,109.715,112.2,109.48,110.5,110.5,1378849
2021-03-25,110.17,111.42,109.51,111.08,111.08,1221309
2021-03-26,110.89,114.43,110.58,114.39,114.39,2046036
2021-03-29,115.06,116.23,114.2,115.75,115.75,1586137
2021-03-30,115.6,116.65,114.5,116.23,116.23,1505739
2021-03-31,116.0,117.26,114.2,114.46,114.46,2782804
2021-04-01,114.59,116.07,113.3901,115.93,115.93,1521351
2021-04-05,116.44,119.65,116.03,119.26,119.26,1853407
2021-04-06,118.11,120.37,117.47,117.61,117.61,1836635
2021-04-07,117.89,118.33,116.65,117.16,117.16,1010033
2021-04-08,117.2,117.25,116.16,116.88,116.88,1024608
2021-04-09,117.17,117.6999,116.08,117.55,117.55,1341960
2021-04-12,117.17,117.81,115.94,117.04,117.04,1461793
2021-04-13,117.34,118.225,116.14,117.65,117.65,1115472
2021-04-14,117.05,117.7,114.78,114.9,114.9,1710695
2021-04-15,115.99,117.35,115.4,117.02,117.02,1413655
2021-04-16,117.18,118.57,116.58,117.36,117.36,1353761
2021-04-19,117.79,118.05,116.24,116.95,116.95,1263217
2021-04-20,116.87,117.05,116.02,116.34,116.34,1274002
2021-04-21,116.44,117.24,116.43,116.67,116.67,1278949
2021-04-22,116.71,116.97,114.33,115.15,115.15,1096235
2021-04-23,115.19,116.24,114.08,115.56,115.56,952651
2021-04-26,115.3,115.3,113.38,113.98,113.98,1577508
2021-04-27,114.24,115.51,114.11,115.01,115.01,1232880
2021-04-28,114.75,115.32,113.65,114.04,114.04,1168164
2021-04-29,114.38,115.715,114.22,115.43,115.43,1066574
