Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,102.092,105.039,101.907,104.758,104.758,24966980
2021-02-25,103.372,104.744,101.064,101.568,101.568,36568640
2021-02-26,102.526,103.55,100.803,101.843,101.843,41676020
2021-03-01,102.826,104.326,102.305,104.076,104.076,28102300
2021-03-02,103.81,105.218,103.563,103.792,103.792,22691900
2021-03-03,103.36,104.426,100.5,101.336,101.336,29683620
2021-03-04,101.168,104.462,101.014,102.455,102.455,42360120
2021-03-05,103.656,105.906,102.321,105.427,105.427,43904360
2021-03-08,105.056,106.44,101.08,101.208,101.208,32948580
2021-03-09,103.5,103.902,102.392,102.635,102.635,33946120
2021-03-10,103.588,103.75,101.668,102.752,102.752,25371840
2021-03-11,103.703,106.285,103.619,105.738,105.738,24781600
2021-03-12,104.25,104.513,102.378,103.096,103.096,34515880
2021-03-15,103.115,103.353,102.176,103.324,103.324,25966500
2021-03-16,103.949,106.178,103.5,104.626,104.626,29831280
2021-03-17,103.802,105.489,102.7,104.554,104.554,25980320
2021-03-18,103.05,103.775,101.678,101.811,101.811,27248600
2021-03-19,102.102,102.655,100.884,102.16,102.16,46297860
2021-03-22,102.092,102.899,101.304,101.929,101.929,39096320
2021-03-23,102.585,103.615,101.961,102.648,102.648,27339940
2021-03-24,103.268,103.91,102.078,102.253,102.253,23080580
2021-03-25,102.24,102.944,100.536,102.218,102.218,28378140
2021-03-26,101.943,102.55,100.701,101.778,101.778,29876000
2021-03-29,101.394,102.922,100.781,102.797,102.797,24595540
2021-03-30,102.882,103.539,102.202,102.777,102.777,20735480
2021-03-31,102.956,104.666,102.837,103.432,103.432,29198600
2021-04-01,104.898,107.147,104.844,106.888,106.888,33979560
2021-04-05,107.647,111.866,107.581,111.278,111.278,43297500
2021-04-06,111.125,111.883,110.74,111.238,111.238,27060720
2021-04-07,111.306,112.75,111.267,112.484,112.484,25797220
2021-04-08,113.898,114.2,112.884,113.272,113.272,27165180
2021-04-09,112.835,114.452,112.686,114.294,114.294,20887300
2021-04-12,113.312,113.766,111.923,112.739,112.739,31317020
2021-04-13,113.074,113.86,112.804,113.364,113.364,23316080
2021-04-14,113.758,113.899,112.46,112.742,112.742,20219340
2021-04-15,113.849,115.33,113.3,114.833,114.833,27472240
2021-04-16,115.15,115.322,114.222,114.888,114.888,22601800
2021-04-19,114.599,115.922,114.392,115.12,115.12,24688900
2021-04-20,115.394,115.48,113.586,114.682,114.682,21774980
2021-04-21,114.262,114.766,112.929,114.664,114.664,23934620
2021-04-22,114.662,115.188,112.822,113.396,113.396,21096160
2021-04-23,114.173,116.291,113.91,115.765,115.765,28703240
2021-04-26,115.996,117.063,115.692,116.337,116.337,20833000
2021-04-27,116.8,116.872,115.214,115.356,115.356,31971660
2021-04-28,120.357,122.619,118.742,118.996,118.996,59728780
2021-04-29,120.516,121.826,120.114,121.494,121.494,39553540
2021-04-30,120.224,121.357,120.108,120.506,120.506,39142600
2021-05-03,120.136,120.985,119.225,119.758,119.758,33787780
2021-05-04,118.487,118.963,115.585,117.712,117.712,35120300
2021-05-05,118.421,119.11,117.57,117.837,117.837,21805500
2021-05-06,117.532,119.136,117.117,119.068,119.068,20617180
2021-05-07,120.0,120.82,119.5,119.934,119.934,23277840
2021-05-10,118.744,118.9,116.736,117.083,117.083,26005420
2021-05-11,114.593,116.1,114.15,115.438,115.438,32110960
2021-05-12,113.086,114.268,111.503,111.954,111.954,34933280
2021-05-13,113.054,113.83,112.136,113.098,113.098,26670160
2021-05-14,114.592,116.057,114.166,115.808,115.808,26624960
2021-05-17,115.466,116.167,114.75,116.07,116.07,19848320
2021-05-18,116.845,117.158,115.158,115.172,115.172,17302380
2021-05-19,113.22,115.838,113.176,115.436,115.436,19350880
2021-05-20,116.402,118.017,116.054,117.804,117.804,23831860
2021-05-21,118.3,118.45,117.118,117.255,117.255,22832640
2021-05-24,118.35,120.924,118.006,120.334,120.334,21243780
2021-05-25,121.0,121.644,120.149,120.454,120.454,18838560
2021-05-26,120.642,122.147,120.626,121.676,121.676,21856380
2021-05-27,121.847,122.0,120.1,120.126,120.126,38962260
2021-05-28,121.098,121.407,120.384,120.578,120.578,24107640
2021-06-01,121.1,121.899,120.244,121.49,121.49,19165780
2021-06-02,121.766,122.1,120.21,121.064,121.064,17162100
2021-06-03,119.751,120.487,119.142,120.23,120.23,18345820
2021-06-04,121.126,122.693,120.888,122.588,122.588,25948680
2021-06-07,122.566,123.4,122.054,123.304,123.304,23849060
2021-06-08,123.995,124.725,123.412,124.142,124.142,25065060
2021-06-09,124.975,125.25,124.366,124.57,124.57,20126740
2021-06-10,124.7,126.163,124.7,126.08,126.08,31234660
2021-06-11,126.246,126.349,124.914,125.696,125.696,25246180
