Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,526.23,534.75,517.27,532.88,532.88,440307
2021-02-25,530.08,535.38,509.45,518.28,518.28,427870
2021-02-26,522.9,526.37,507.34,520.17,520.17,593903
2021-03-01,529.68,541.29,521.35,538.17,538.17,415949
2021-03-02,542.08,543.2836,527.17,529.47,529.47,312062
2021-03-03,524.76,526.305,495.58,498.02,498.02,531244
2021-03-04,494.9,497.525,480.51,485.85,485.85,676133
2021-03-05,486.0,504.53,478.195,499.7,499.7,725026
2021-03-08,498.53,504.37,481.2901,482.6,482.6,605079
2021-03-09,500.33,507.16,493.09,493.57,493.57,643902
2021-03-10,494.01,505.2,488.28,488.78,488.78,484695
2021-03-11,495.7,505.0048,493.01,502.94,502.94,364708
2021-03-12,498.91,498.91,486.74,497.75,497.75,361243
2021-03-15,499.89,513.23,498.61,512.76,512.76,317537
2021-03-16,520.0,521.11,502.47,506.92,506.92,318103
2021-03-17,503.57,509.14,497.48,504.9,504.9,403674
2021-03-18,493.52,499.16,483.42,484.47,484.47,490971
2021-03-19,482.58,487.22,479.281,484.88,484.88,945943
2021-03-22,486.34,493.94,485.61,491.37,491.37,620410
2021-03-23,490.09,492.4492,485.12,487.66,487.66,416376
2021-03-24,489.1,489.1,471.35,472.97,472.97,451452
2021-03-25,471.5,474.16,462.0,472.11,472.11,471947
2021-03-26,473.03,481.13,465.23,480.22,480.22,546441
2021-03-29,480.02,482.7924,469.41,479.18,479.18,471666
2021-03-30,474.37,477.57,469.1019,475.95,475.95,483626
2021-03-31,481.52,495.19,479.68,489.31,489.31,576713
2021-04-01,487.49,495.2,484.37,486.36,486.36,440023
2021-04-05,488.0,492.61,482.9,491.31,491.31,359893
2021-04-06,493.21,499.07,489.67,492.9,492.9,335323
2021-04-07,492.54,493.79,487.0,489.27,489.27,239012
2021-04-08,494.87,500.0,493.24,499.66,499.66,250968
2021-04-09,500.08,504.16,496.56,502.88,502.88,335583
2021-04-12,499.82,509.97,498.13,506.43,506.43,433364
2021-04-13,509.0,517.68,508.51,516.94,516.94,406688
2021-04-14,519.99,523.2,512.83,514.16,514.16,273566
2021-04-15,520.0,530.27,518.4701,528.46,528.46,438726
2021-04-16,532.43,536.025,526.0,535.0,535.0,345444
2021-04-19,533.28,535.395,526.676,528.58,528.58,316917
2021-04-20,529.31,538.19,528.24,532.27,532.27,256544
2021-04-21,531.53,546.305,530.93,541.08,541.08,365565
2021-04-22,539.23,554.3192,538.65,546.26,546.26,388736
2021-04-23,551.23,561.07,549.32,559.1,559.1,301695
