Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,462.0,466.035,448.08,461.05,461.05,1135743
2021-02-25,460.81,461.76,437.16,445.86,445.86,1294555
2021-02-26,444.85,445.98,432.06,439.41,439.41,1457533
2021-03-01,449.0,451.74,443.1401,446.5,446.5,865465
2021-03-02,444.61,448.3492,438.07,441.01,441.01,753114
2021-03-03,436.56,437.105,416.17,416.41,416.41,1130830
2021-03-04,413.35,418.35,395.69,399.61,399.61,1268038
2021-03-05,402.24,403.48,382.41,398.85,398.85,1181765
2021-03-08,396.47,404.475,383.09,383.62,383.62,908758
2021-03-09,391.2117,405.91,391.2117,400.86,400.86,965610
2021-03-10,407.86,417.2818,399.17,399.45,399.45,709406
2021-03-11,406.57,418.42,404.6021,412.89,412.89,669820
2021-03-12,402.41,405.74,393.7975,405.12,405.12,687901
2021-03-15,404.31,421.88,404.31,420.32,420.32,943490
2021-03-16,421.06,425.5173,412.03,419.53,419.53,1086788
2021-03-17,413.97,424.11,408.65,420.12,420.12,887389
2021-03-18,412.47,415.92,405.33,409.19,409.19,950660
2021-03-19,410.74,418.0,407.005,415.9,415.9,1225522
2021-03-22,416.24,431.15,416.24,429.92,429.92,1138963
2021-03-23,431.39,431.73,416.22,416.43,416.43,711553
2021-03-24,417.66,421.55,404.8,406.8,406.8,652798
2021-03-25,404.61,409.91,394.3204,398.13,398.13,1275027
2021-03-26,400.0,402.73,393.475,401.46,401.46,1161346
2021-03-29,401.5,402.98,389.54,395.0,395.0,1373735
2021-03-30,394.4,405.1878,364.241,368.96,368.96,4516211
2021-03-31,373.2135,389.05,373.02,384.06,384.06,2494758
2021-04-01,393.21,398.94,380.74,385.04,385.04,1361176
2021-04-05,386.03,387.915,379.26,384.54,384.54,1008107
2021-04-06,424.36,426.44,412.99,414.84,414.84,3178305
2021-04-07,412.15,414.62,398.68,400.55,400.55,1000435
2021-04-08,405.22,409.19,402.21,403.74,403.74,749852
2021-04-09,406.26,406.26,394.5,403.37,403.37,662140
2021-04-12,402.78,405.0,395.04,398.99,398.99,646311
2021-04-13,400.13,407.0,399.68,403.15,403.15,702043
2021-04-14,406.65,408.5796,396.62,398.07,398.07,655574
2021-04-15,403.76,407.72,399.62,401.96,401.96,980039
2021-04-16,401.89,402.39,390.52,399.0,399.0,1177068
2021-04-19,398.05,405.25,393.35,404.18,404.18,906453
2021-04-20,401.83,406.95,395.49,398.39,398.39,571104
2021-04-21,398.03,404.07,395.005,403.33,403.33,554637
2021-04-22,402.02,411.43,402.02,408.42,408.42,678885
2021-04-23,410.93,416.7099,410.04,414.97,414.97,798277
2021-04-26,417.75,421.06,412.8401,420.76,420.76,854370
2021-04-27,417.19,422.64,413.55,413.55,413.55,903462
2021-04-28,414.62,417.0,393.0,405.54,405.54,859700
2021-04-29,407.74,411.03,396.89,399.93,399.93,733402
2021-04-30,397.23,399.445,390.48,392.84,392.84,947224
2021-05-03,394.67,396.66,385.95,386.4,386.4,962242
2021-05-04,384.15,384.15,375.08,378.37,378.37,963739
2021-05-05,381.88,384.09,377.43,378.35,378.35,678405
2021-05-06,375.93,377.22,369.08,377.09,377.09,702595
2021-05-07,379.76,389.45,378.69,383.94,383.94,703789
