Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,247.91,253.22,246.1,252.9,252.9,1320669
2021-02-25,251.62,252.96,243.97,247.26,247.26,1336245
2021-02-26,247.97,249.23,242.1,245.6,245.6,2007417
2021-03-01,249.68,253.59,248.55,253.07,253.07,1677681
2021-03-02,253.33,253.33,248.93,250.0,250.0,1172979
2021-03-03,248.69,248.69,240.49,242.38,242.38,1521351
2021-03-04,241.67,242.41,233.01,236.39,236.39,2427678
2021-03-05,237.42,239.48,229.08,237.79,237.79,2277414
2021-03-08,235.12,236.86,227.47,228.3,228.3,1917576
2021-03-09,232.51,236.75,230.0,234.27,234.27,2090769
2021-03-10,240.33,242.54,237.61,239.94,239.94,2198130
2021-03-11,243.45,246.33,241.45,244.0,244.0,1492920
2021-03-12,240.37,245.47,240.0,244.66,244.66,1467165
2021-03-15,242.44,245.85,241.68,245.02,245.02,1202760
2021-03-16,246.8,247.17,240.5,242.21,242.21,1277475
2021-03-17,241.44,242.99,237.6,241.55,241.55,1056459
2021-03-18,238.57,239.86,231.69,233.11,233.11,1940772
2021-03-19,233.83,238.24,231.8,235.83,235.83,2377704
2021-03-22,235.91,240.38,234.38,238.24,238.24,1309698
2021-03-23,238.84,240.33,235.88,236.94,236.94,1005012
2021-03-24,237.33,240.11,235.16,237.02,237.02,1452348
2021-03-25,236.88,238.14,231.21,234.83,234.83,1380102
2021-03-26,235.69,243.95,234.92,243.58,243.58,1707765
2021-03-29,243.15,244.71,239.11,241.32,241.32,1351050
2021-03-30,239.7,243.0,238.17,242.16,242.16,1442496
2021-03-31,242.85,247.98,242.42,246.31,246.31,1695303
2021-04-01,250.0,252.69,248.63,249.2,249.2,1357707
2021-04-05,250.07,256.88,250.07,255.31,255.31,1697742
2021-04-06,255.71,258.76,253.6,255.62,255.62,1155801
2021-04-07,255.8,257.0,253.19,253.67,253.67,1101093
2021-04-08,255.32,258.03,255.32,256.78,256.78,906069
2021-04-09,257.86,262.11,256.16,261.49,261.49,1065981
2021-04-12,259.38,261.89,259.1,259.75,259.75,1008585
2021-04-13,259.65,265.61,259.65,264.82,264.82,1286346
