Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,307.096,321.655,303.413,321.358,321.358,1196019.0643271
2021-02-25,315.747,319.34,295.981,298.248,298.248,1561849.124086
2021-02-26,304.631,307.966,296.643,304.542,304.542,1345218.7350389
2021-03-01,309.224,319.378,308.234,318.984,318.984,1322429.3082303
2021-03-02,318.874,319.656,302.988,303.156,303.156,1201964.7032317
2021-03-03,303.82,308.283,297.0,297.277,297.277,1180785.7009623
2021-03-04,295.684,299.673,276.263,281.43,281.43,1691696.4221188
2021-03-05,286.398,290.863,272.205,289.507,289.507,1667245.0452681
2021-03-08,284.746,287.518,267.365,268.157,268.157,2230417.7808496
2021-03-09,277.53,289.922,276.224,287.775,287.775,1986895.1205433
2021-03-10,293.308,293.912,276.649,277.352,277.352,1725334.4930323
2021-03-11,287.726,295.475,283.775,289.992,289.992,1747266.1717644
2021-03-12,282.657,288.437,279.826,287.943,287.943,1326940.3154876
2021-03-15,287.162,292.882,285.153,292.526,292.526,1351004.745915
2021-03-16,293.268,299.386,292.447,295.455,295.455,1578106.9356834
2021-03-17,289.814,303.246,284.856,298.822,298.822,1948187.3442736
2021-03-18,291.893,293.298,281.589,282.529,282.529,2086042.3116278
2021-03-19,281.776,290.853,278.371,286.588,286.588,3291512.7696596
2021-03-22,293.545,301.514,291.893,298.792,298.792,1859950.4258364
2021-03-23,299.92,300.87,289.744,290.675,290.675,1805138.4041734
2021-03-24,303.83,310.184,291.16,291.486,291.486,1705900.2857312
2021-03-25,286.735,294.535,280.767,292.971,292.971,1214071.1757877
2021-03-26,292.279,313.362,292.279,313.065,313.065,1687044.9826089
2021-03-29,310.906,311.026,300.276,307.561,307.561,1459880.1539939
2021-03-30,306.076,311.659,304.988,310.253,310.253,944371.53943809
2021-03-31,314.826,326.14,314.272,323.299,323.299,1851658.8610973
2021-04-01,329.763,340.313,329.763,339.819,339.819,1927225.5573592
2021-04-05,341.551,351.953,338.641,347.44,347.44,1529007.1727065
2021-04-06,345.531,346.202,333.237,339.145,339.145,1727586.4605968
2021-04-07,340.234,345.124,336.285,340.551,340.551,1007189.2098144
2021-04-08,346.392,346.649,340.927,346.43,346.43,1149690.565159
2021-04-09,344.353,347.44,340.739,345.271,345.271,934017.94428205
2021-04-12,342.065,343.155,335.938,337.68,337.68,1406550.2482651
2021-04-13,342.016,342.016,331.822,336.73,336.73,1253368.9695801
2021-04-14,332.693,339.215,327.961,329.267,329.267,1212292.0304842
2021-04-15,334.444,334.81,328.485,331.257,331.257,1224455.0800631
2021-04-16,331.772,332.553,325.823,325.843,325.843,979254.30485113
2021-04-19,323.853,326.457,311.44,317.419,317.419,1585842.8332352
2021-04-20,316.162,318.834,310.956,312.054,312.054,1509612.3672605
2021-04-21,315.509,325.07,312.698,324.645,324.645,1735069.7821544
2021-04-22,322.368,324.725,315.815,318.083,318.083,1068430.8059868
2021-04-23,320.933,326.931,319.666,324.922,324.922,1208042.6919571
2021-04-26,326.842,330.317,323.883,328.585,328.585,1062286.1371989
2021-04-27,332.693,332.693,322.181,323.387,323.387,960568.73279696
2021-04-28,322.418,323.635,317.262,317.846,317.846,1004765.4905737
2021-04-29,318.914,321.655,311.797,319.35,319.35,1323603.2814515
2021-04-30,308.253,314.747,306.186,308.57,308.57,1465654.0412222
2021-05-03,310.798,311.936,301.859,304.542,304.542,1443252.5711407
2021-05-04,299.256,301.474,292.981,301.325,301.325,1627335.0072656
2021-05-05,306.433,309.927,299.81,305.215,305.215,1182757.8143254
2021-05-06,302.849,309.481,301.078,309.096,309.096,955778.88164213
2021-05-07,313.114,316.054,309.848,312.827,312.827,866945.88385861
2021-05-10,303.285,307.135,293.021,293.446,293.446,1611589.4197844
2021-05-11,284.746,295.08,283.498,293.822,293.822,1009435.1155553
2021-05-12,286.251,289.398,279.748,280.579,280.579,1431146.0985847
2021-05-13,288.21,294.209,287.419,290.378,290.378,1567382.5589679
2021-05-14,292.951,303.364,290.536,300.077,300.077,1536515.7518633
2021-05-17,292.921,295.277,286.765,292.209,292.209,1378332.4581883
2021-05-18,296.762,297.376,288.042,288.467,288.467,1108192.3293047
2021-05-19,282.717,298.603,281.262,298.316,298.316,1325524.8796157
2021-05-20,299.771,309.164,299.771,307.561,307.561,1477251.320574
2021-05-21,309.134,309.134,302.988,304.394,304.394,1069463.3366513
2021-05-24,308.521,314.193,307.996,311.668,311.668,1232031.3495865
2021-05-25,314.203,317.904,310.679,312.024,312.024,1282060.5922223
2021-05-26,313.282,316.034,309.857,311.52,311.52,1098463.1020063
2021-05-27,310.986,315.618,310.045,310.679,310.679,1217692.1052412
2021-05-28,312.292,314.38,310.599,311.026,311.026,902188.31748743
2021-06-01,313.965,318.736,308.57,309.877,309.877,1044087.5316616
2021-06-02,310.243,312.579,307.007,309.738,309.738,898367.34784651
2021-06-03,305.996,306.67,301.642,303.057,303.057,1266478.6739854
2021-06-04,305.611,312.174,305.393,311.124,311.124,915321.25888414
2021-06-07,309.541,313.411,306.838,312.648,312.648,1119218.7869094
2021-06-08,316.628,317.646,306.066,307.986,307.986,626641.04171908
2021-06-09,315.183,316.845,308.046,308.343,308.343,762091.48560819
2021-06-10,310.263,314.667,308.699,313.391,313.391,703921.21352588
2021-06-11,314.717,315.4,311.53,314.183,314.183,784862.72694525
2021-06-14,314.984,319.875,313.025,319.191,319.191,646321.76319055
2021-06-15,318.439,320.547,313.372,314.657,314.657,732006.65378183
2021-06-16,316.895,317.3,307.432,310.045,310.045,872457.092053
2021-06-17,309.234,315.38,307.344,312.52,312.52,937185.24724987
2021-06-18,308.066,308.887,297.544,298.842,298.842,1962226.5283375
2021-06-21,300.345,303.869,296.87,303.087,303.087,899012.9320878
2021-06-22,301.949,303.85,298.583,302.899,302.899,684939.62240646
2021-06-23,303.136,307.155,302.899,305.106,305.106,669056.63358442
2021-06-24,307.689,310.292,306.492,310.035,310.035,744598.07224687
2021-06-25,309.768,312.431,308.145,310.402,310.402,3995204.6441827
2021-06-28,313.332,319.458,312.501,316.291,316.291,878059.22760534
2021-06-29,316.034,319.992,315.578,319.181,319.181,555084.24194182
2021-06-30,318.984,318.994,314.925,318.201,318.201,710792.29087329
2021-07-01,318.142,318.29,305.759,305.958,305.958,1443877.9493025
2021-07-02,307.918,308.185,302.305,306.036,306.036,1073035.7715139
2021-07-06,306.917,310.422,299.603,305.492,305.492,1091599.0967868
2021-07-07,308.303,309.104,300.207,301.375,301.375,1007589.2901894
2021-07-08,295.455,299.474,293.198,297.474,297.474,912966.24031382
2021-07-09,298.088,303.85,296.019,303.037,303.037,740427.53742992
2021-07-12,304.274,308.472,303.176,308.205,308.205,899958.57661026
2021-07-13,306.333,309.164,304.255,305.839,305.839,579089.06443475
2021-07-14,307.937,312.401,302.74,303.394,303.394,777468.31213777
2021-07-15,302.493,304.255,296.129,298.128,298.128,927515.62788624
2021-07-16,299.623,302.186,286.894,287.785,287.785,1828330.9422689
2021-07-19,284.549,288.903,282.113,288.874,288.874,1357377.7434018
2021-07-20,289.834,299.187,287.259,297.157,297.157,1225362.3330344
2021-07-21,298.702,312.401,298.238,311.016,311.016,1638043.2191176
2021-07-22,309.164,312.242,306.205,308.54,308.54,805091.03317226
2021-07-23,311.065,316.034,309.6,314.816,314.816,718464.53927445
2021-07-26,314.242,316.361,309.758,312.728,312.728,667467.42542865
2021-07-27,309.461,309.461,296.92,303.275,303.275,1101770.837227
2021-07-28,305.245,311.045,303.74,309.718,309.718,659016.23266125
2021-07-29,307.65,314.223,304.621,313.509,313.509,1140221.9962867
2021-07-30,333.197,350.103,329.346,341.719,341.719,2707120.6196497
2021-08-02,341.719,350.093,338.413,339.492,339.492,1149526.8959147
2021-08-03,340.798,343.035,336.641,340.462,340.462,942852.04225674
2021-08-04,340.462,349.41,340.462,347.243,347.243,1183782.262558
2021-08-05,348.955,350.023,343.025,347.153,347.153,744169.70336063
2021-08-06,345.034,348.231,344.64,346.796,346.796,925511.18479592
2021-08-09,346.966,349.479,344.797,345.014,345.014,762814.8632557
2021-08-10,344.737,345.521,334.295,335.661,335.661,1504760.887563
2021-08-11,337.483,338.651,330.07,336.305,336.305,848011.7770261
2021-08-12,331.248,333.554,322.101,322.428,322.428,1382340.3340649
2021-08-13,322.111,324.071,320.784,322.843,322.843,605799.48097804
2021-08-16,322.002,326.447,320.814,324.131,324.131,1090344.2992475
2021-08-17,320.844,321.992,311.985,317.489,317.489,1275208.7106504
2021-08-18,315.588,321.457,312.292,312.668,312.668,1135451.3409074
2021-08-19,309.947,318.627,308.679,317.389,317.389,741332.76979328
2021-08-20,319.735,322.408,310.609,315.054,315.054,806686.30315189
2021-08-23,318.984,324.536,318.41,323.487,323.487,1294817.7005396
2021-08-24,324.605,329.159,321.348,322.962,322.962,631162.15201603
2021-08-25,320.686,330.385,320.686,328.882,328.882,852470.24847649
2021-08-26,329.446,331.554,326.991,328.614,328.614,503216.24606788
2021-08-27,330.474,338.254,329.713,337.661,337.661,703420.1027533
2021-08-30,340.026,341.57,333.622,336.849,336.849,524132.56930319
2021-08-31,338.394,338.394,328.595,334.741,334.741,1018833.9734531
2021-09-01,335.701,336.334,329.99,330.297,330.297,678563.59400777
2021-09-02,332.693,334.444,330.207,332.513,332.513,477944.50238781
2021-09-03,330.951,337.245,330.951,336.493,336.493,489405.39070262
2021-09-07,337.364,337.81,332.712,336.552,336.552,579159.78571315
2021-09-08,335.909,335.909,329.416,331.573,331.573,786916.67493044
2021-09-09,330.761,343.52,330.415,342.491,342.491,1218842.841471
2021-09-10,345.608,353.567,344.927,345.184,345.184,1260752.2710439
2021-09-13,349.162,352.815,343.926,350.132,350.132,989473.52957824
2021-09-14,354.972,359.18,348.074,350.905,350.905,1370516.7466223
2021-09-15,351.854,361.891,348.608,361.693,361.693,1590721.59114
2021-09-16,359.387,367.988,357.615,366.296,366.296,2001448.5493317
2021-09-17,368.641,368.84,360.971,364.128,364.128,2196588.7624845
2021-09-20,354.854,356.002,344.391,349.726,349.726,1332836.4494971
2021-09-21,353.438,353.913,344.263,351.092,351.092,1178518.5788379
2021-09-22,353.606,360.684,350.518,359.891,359.891,774281.81339439
2021-09-23,361.02,366.681,360.148,365.276,365.276,963091.46182747
