Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,53.3071,57.3059,53.1012,57.2118,57.2118,15827013.161358
2021-02-25,56.5508,56.7878,52.202,52.4911,52.4911,27908262.911193
2021-02-26,53.3808,55.0809,52.2533,54.3656,54.3656,18608651.865072
2021-03-01,55.2623,57.5581,55.1721,57.3961,57.3961,18448922.849697
2021-03-02,56.936,57.3912,54.8644,54.9556,54.9556,15269966.078382
2021-03-03,54.7062,55.7446,52.7182,52.8344,52.8344,17024501.558707
2021-03-04,52.5793,53.6727,49.0202,50.6861,50.6861,26520622.887116
2021-03-05,52.0157,52.7287,49.484,52.496,52.496,23120040.689925
2021-03-08,52.029,53.1499,48.0846,48.1751,48.1751,19966312.425589
2021-03-09,50.4078,52.4115,50.1806,52.0952,52.0952,18013772.327393
2021-03-10,52.5891,52.9074,49.4336,49.7179,49.7179,20579093.072998
2021-03-11,51.1724,51.9913,50.7085,51.3159,51.3159,16825033.522538
2021-03-12,50.3213,50.5842,49.5354,50.3041,50.3041,14958196.146572
2021-03-15,49.9962,51.5021,49.8653,51.4468,51.4468,11134665.450062
2021-03-16,52.1263,53.8223,51.8214,52.5744,52.5744,15886930.865429
2021-03-17,51.7768,53.6312,50.923,53.1334,53.1334,14138836.486764
2021-03-18,52.0894,53.4041,51.2441,51.804,51.804,26211625.20546
2021-03-19,52.0718,52.9402,51.1743,52.1067,52.1067,24762367.026473
2021-03-22,53.2296,54.5344,52.8492,53.8088,53.8088,15030491.07159
2021-03-23,54.221,54.2473,52.2242,52.3077,52.3077,14877429.884653
2021-03-24,54.8325,55.3186,53.0024,53.081,53.081,20499728.394799
2021-03-25,52.3523,53.0004,50.4456,52.6559,52.6559,15053174.055192
2021-03-26,52.818,56.1859,52.754,56.1338,56.1338,19479210.553747
2021-03-29,55.9532,55.9706,53.7814,54.7955,54.7955,18315154.050447
2021-03-30,54.2862,55.4254,54.0096,55.013,55.013,9417921.2013898
2021-03-31,56.1112,57.9831,56.0638,57.1922,57.1922,24664338.612107
2021-04-01,58.7294,61.4928,58.6216,61.4258,61.4258,25638006.456136
2021-04-05,62.4243,63.9904,61.4511,63.4908,63.4908,24410126.364721
2021-04-06,63.4139,64.0526,61.877,62.6931,62.6931,24183409.892094
2021-04-07,62.6931,64.1263,62.4989,63.2967,63.2967,15288392.782008
2021-04-08,64.0884,64.2777,62.8378,64.1826,64.1826,12535826.634742
2021-04-09,63.9098,64.2689,63.0987,63.6071,63.6071,13254766.94325
2021-04-12,63.2848,63.3753,61.972,62.4788,62.4788,16455262.75851
2021-04-13,62.9881,63.1473,61.2804,61.9712,61.9712,14054597.18283
2021-04-14,61.5811,62.6367,60.9163,61.5336,61.5336,9309968.3375888
2021-04-15,62.2632,62.6251,61.2841,62.405,62.405,11346417.955314
2021-04-16,62.5319,62.6757,61.5712,61.8488,61.8488,11590386.274623
2021-04-19,61.8508,62.2944,58.5421,59.7365,59.7365,25206287.752796
2021-04-20,59.2582,60.0596,58.4362,58.9,58.9,14283653.063578
2021-04-21,59.5308,61.6122,59.3251,61.6122,61.6122,21586182.505313
2021-04-22,61.8673,62.4475,58.7069,59.0465,59.0465,25361049.390571
2021-04-23,59.6452,60.5322,58.9525,60.2915,60.2915,15500495.68319
2021-04-26,60.237,61.8149,59.9297,61.7974,61.7974,13517883.369569
2021-04-27,62.2001,62.3574,61.4743,61.9606,61.9606,10323704.986815
2021-04-28,61.877,61.877,60.8708,61.3045,61.3045,7680637.5677486
2021-04-29,61.6809,61.7811,60.4856,61.5851,61.5851,9305722.3633753
2021-04-30,60.573,61.2501,59.5541,59.6143,59.6143,14224054.83815
2021-05-03,60.4613,60.5322,58.9728,59.3057,59.3057,12053939.478801
2021-05-04,58.4538,58.5663,56.7071,58.2541,58.2541,16524991.548628
2021-05-05,59.3126,59.6666,57.9715,58.7069,58.7069,10235982.335104
2021-05-06,58.5284,59.4891,57.785,59.3251,59.3251,12396451.500608
2021-05-07,60.1471,60.993,59.3977,60.5847,60.5847,10757618.817602
2021-05-10,59.7075,59.9617,56.3201,56.3481,56.3481,18378833.357886
2021-05-11,54.6276,57.1836,54.0863,56.9226,56.9226,20262840.134434
2021-05-12,55.2469,55.5078,53.4023,53.5826,53.5826,25284013.814732
2021-05-13,55.0509,57.1099,54.7849,56.182,56.182,30609392.997053
2021-05-14,57.265,58.5545,55.535,57.9365,57.9365,16117171.908882
2021-05-17,56.7257,56.9497,55.3428,56.8878,56.8878,17475605.401599
2021-05-18,57.4494,57.7773,56.183,56.1909,56.1909,12155513.07552
2021-05-19,54.68,57.9461,54.3862,57.8617,57.8617,16411535.407569
2021-05-20,58.3799,60.9163,58.0715,60.2169,60.2169,20545650.873185
2021-05-21,59.9025,60.0976,58.6293,59.0039,59.0039,15347846.726758
2021-05-24,60.0846,61.6394,59.7646,60.9776,60.9776,14662719.62552
2021-05-25,61.5879,62.6533,61.323,61.5278,61.5278,15628957.014673
2021-05-26,61.6626,62.1253,60.7582,61.3035,61.3035,13135683.855782
2021-05-27,60.9999,62.5717,60.9999,62.0402,62.0402,23369635.955645
2021-05-28,62.7416,62.9648,62.2603,62.4389,62.4389,8763494.967096
2021-06-01,63.0307,64.7396,62.2138,62.3612,62.3612,13283942.557323
2021-06-02,62.2312,63.0181,61.7333,62.3564,62.3564,9570920.5537516
2021-06-03,61.353,61.7431,60.6467,61.0871,61.0871,12267485.186756
2021-06-04,61.878,63.0531,61.6655,62.9638,62.9638,10868385.154606
2021-06-07,62.6097,62.6951,61.7811,62.4127,62.4127,8461494.8982821
2021-06-08,63.2219,63.249,60.9485,61.257,61.257,9218721.11505
2021-06-09,61.6005,61.8228,60.8301,60.925,60.925,6863679.1506379
2021-06-10,60.7048,62.1652,60.7048,61.5654,61.5654,8783993.1290149
2021-06-11,61.649,61.7761,60.9959,61.6956,61.6956,10663393.229655
2021-06-14,61.6578,62.5621,61.3181,62.4758,62.4758,10603599.194736
2021-06-15,62.2826,62.9638,61.7905,61.9497,61.9497,6626904.2536614
2021-06-16,62.1622,62.6649,60.9,61.4948,61.4948,11154029.978088
2021-06-17,61.2735,62.2905,60.5282,61.5937,61.5937,8878816.4511947
2021-06-18,60.662,60.805,58.6207,58.9837,58.9837,21956973.539842
2021-06-21,59.1562,60.0723,58.5905,59.557,59.557,10315460.376692
2021-06-22,59.4511,60.2827,58.6556,59.8625,59.8625,7479757.6420961
2021-06-23,60.1713,60.961,60.0121,60.0966,60.0966,7060127.5983492
2021-06-24,61.0202,61.386,60.8262,61.1355,61.1355,7977896.9857416
2021-06-25,61.1338,61.2619,60.241,60.6952,60.6952,12981076.804446
2021-06-28,61.3045,62.5329,61.2968,62.2865,62.2865,10007338.684862
2021-06-29,62.2808,63.0269,62.0012,62.7513,62.7513,8285029.3243572
2021-06-30,62.7008,62.7543,61.9429,62.6467,62.6467,8345637.5145255
2021-07-01,62.3544,62.5184,60.7709,60.9485,60.9485,11781939.485073
2021-07-02,61.6375,61.7363,60.3634,60.7912,60.7912,7713749.983156
2021-07-06,60.7912,61.3958,59.1562,59.8732,59.8732,10638432.672507
2021-07-07,60.5661,60.5972,58.7049,59.0736,59.0736,8957047.4955014
2021-07-08,57.8269,59.0649,57.2068,58.346,58.346,10614327.493659
2021-07-09,58.5168,59.1447,58.0414,59.0019,59.0019,8699238.536948
2021-07-12,59.4501,60.5837,59.3967,60.212,60.212,17987451.409574
2021-07-13,59.9538,60.2681,59.2619,60.1402,60.1402,11256613.539547
2021-07-14,60.8554,61.6635,59.3387,59.4861,59.4861,11952211.295644
2021-07-15,59.1873,59.7861,58.1093,58.7991,58.7991,12984735.350189
2021-07-16,58.9971,59.3047,56.4159,56.6556,56.6556,14061800.910925
2021-07-19,55.6455,56.9856,55.3893,56.9487,56.9487,15134208.26694
2021-07-20,57.3737,58.8981,56.6285,58.4468,58.4468,16160930.177111
2021-07-21,58.5545,61.4986,58.5545,61.3511,61.3511,17007991.726934
2021-07-22,60.8525,61.4424,60.7038,61.2241,61.2241,13008119.125651
2021-07-23,61.7811,62.0634,60.9911,61.6414,61.6414,10716076.288343
2021-07-26,61.7343,62.3816,61.158,61.6528,61.6528,9124258.4945631
2021-07-27,61.1347,61.3521,58.4965,59.9402,59.9402,15488685.27919
2021-07-28,60.1827,61.4239,60.0217,61.1338,61.1338,12630515.982007
2021-07-29,58.7827,59.9277,57.4824,59.6549,59.6549,30266613.025418
2021-07-30,58.8236,61.3753,58.7923,61.3666,61.3666,17149819.63258
2021-08-02,62.2128,63.4916,61.7121,61.7897,61.7897,14463292.8124
2021-08-03,62.1439,62.5147,61.2755,62.1478,62.1478,7108317.3445193
2021-08-04,62.4641,63.026,61.7606,62.5572,62.5572,11551255.293826
2021-08-05,62.7513,62.9258,61.877,62.1604,62.1604,6192145.3503383
2021-08-06,61.8663,62.4194,61.809,62.3816,62.3816,6300294.0236298
2021-08-09,62.5785,62.6107,61.5198,61.6635,61.6635,8133967.4553743
2021-08-10,61.6928,61.7323,59.2192,59.4183,59.4183,16877469.242921
2021-08-11,59.6899,59.8742,57.3951,58.5845,58.5845,18236129.462416
2021-08-12,57.6056,57.6153,55.661,56.1774,56.1774,26129745.921173
2021-08-13,56.1519,56.6421,55.5671,55.8784,55.8784,18345999.19807
2021-08-16,55.826,56.8517,55.598,56.6936,56.6936,13187490.924644
2021-08-17,56.025,56.5587,54.9634,55.7428,55.7428,13194199.976132
2021-08-18,55.6464,56.3763,54.7946,54.8305,54.8305,9171386.74718
2021-08-19,54.4288,55.7659,54.0754,55.5641,55.5641,11484844.959282
2021-08-20,56.1745,56.3693,53.8979,54.488,54.488,17618072.264528
2021-08-23,55.1313,56.4549,55.1071,56.253,56.253,14227383.599486
2021-08-24,56.5052,57.1875,56.0065,56.3773,56.3773,9881237.3730273
2021-08-25,56.5315,57.264,56.4619,56.6838,56.6838,9361023.0857769
2021-08-26,56.6101,57.2147,56.1638,56.355,56.355,8957511.2548208
2021-08-27,56.7293,59.035,56.7207,58.6886,58.6886,15562103.532337
2021-08-30,59.1882,59.4784,57.9997,58.5332,58.5332,10143611.784436
2021-08-31,58.6187,58.6187,57.4766,58.2287,58.2287,11129440.428396
2021-09-01,58.5284,58.6303,57.6813,57.7434,57.7434,7318132.3663929
2021-09-02,58.0259,58.5197,57.6823,57.9667,57.9667,8906198.8625664
2021-09-03,57.9588,59.0495,57.3797,58.7962,58.7962,10700535.198261
2021-09-07,57.6823,58.3082,56.6101,57.1089,57.1089,24228404.851841
2021-09-08,56.9409,56.9556,55.4912,56.1801,56.1801,17880704.320003
2021-09-09,55.9357,57.4688,55.7436,57.1496,57.1496,15987731.529948
2021-09-10,57.9696,58.9312,57.429,57.5832,57.5832,16177573.983799
2021-09-13,58.0442,59.2029,57.7219,58.6088,58.6088,13640047.880071
2021-09-14,57.824,58.8613,57.6317,58.1015,58.1015,12269803.983354
2021-09-15,57.8531,58.9068,57.4854,58.8709,58.8709,11861520.584287
2021-09-16,58.1365,59.4173,57.7454,59.2901,59.2901,14050392.431667
2021-09-17,59.2037,59.327,58.115,58.6293,58.6293,20921275.310399
2021-09-20,57.2738,57.2883,55.9434,56.7934,56.7934,13753555.549943
2021-09-21,57.0301,57.2137,55.6759,56.4373,56.4373,16665727.043432
2021-09-22,57.1875,58.1238,56.6955,57.8716,57.8716,10750404.783743
2021-09-23,57.822,59.4919,57.4494,58.9737,58.9737,11431388.968398
2021-09-24,58.212,59.0942,57.8919,58.966,58.966,7554319.834898
2021-09-27,58.1947,60.0295,58.1267,59.5153,59.5153,11286469.333955
2021-09-28,57.526,58.5197,56.4569,56.5528,56.5528,21640349.593822
2021-09-29,56.5663,56.8448,54.7072,54.7712,54.7712,17176408.500228
2021-09-30,55.3281,55.7388,54.811,54.9284,54.9284,11336328.613675
2021-10-01,55.1197,55.3632,54.1037,54.9849,54.9849,11563632.514772
2021-10-04,54.6219,54.6734,52.9199,53.0946,53.0946,17000427.297146
2021-10-05,53.7252,54.3627,53.1402,53.6506,53.6506,12491955.003124
2021-10-06,53.081,53.8436,52.5823,53.2478,53.2478,16482779.144797
