Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,318.79,321.18,312.51,317.7,317.7,1127903
2021-02-25,316.2,326.1894,308.575,310.12,310.12,1278361
2021-02-26,312.35,316.58,306.3993,311.68,311.68,1460825
2021-03-01,313.09,317.35,312.11,314.83,314.83,1315314
2021-03-02,316.51,321.25,312.1044,317.47,317.47,1371082
2021-03-03,313.69,315.7544,295.68,295.99,295.99,2479184
2021-03-04,296.41,299.28,280.4835,285.14,285.14,3084222
2021-03-05,290.45,293.82,269.2801,293.24,293.24,2596158
2021-03-08,291.17,295.87,288.05,288.94,288.94,1966664
2021-03-09,296.95,304.85,294.78,298.35,298.35,1585192
2021-03-10,302.07,311.41,299.19,309.0,309.0,2368341
2021-03-11,313.53,315.34,308.74,310.34,310.34,1804615
2021-03-12,304.46,307.7,299.01,306.08,306.08,1260965
2021-03-15,306.73,314.565,304.1656,314.32,314.32,875628
2021-03-16,315.55,316.8896,305.7,308.75,308.75,1145624
2021-03-17,303.89,316.59,303.89,315.22,315.22,1022044
2021-03-18,311.17,316.2,305.28,306.35,306.35,1110399
2021-03-19,305.37,312.48,303.51,308.71,308.71,1623944
2021-03-22,309.59,316.52,308.76,313.6,313.6,889336
2021-03-23,314.22,321.3,312.9001,314.03,314.03,1155192
2021-03-24,316.3,319.7,306.68,307.31,307.31,1039279
2021-03-25,303.56,307.85,298.54,306.21,306.21,1326873
2021-03-26,302.6096,314.15,302.48,314.0,314.0,1109445
2021-03-29,317.4611,319.8,310.25,316.16,316.16,1475092
2021-03-30,314.52,320.5799,311.44,317.09,317.09,2537129
2021-03-31,307.65,311.6859,300.05,306.71,306.71,4932358
2021-04-01,308.29,308.792,300.32,301.07,301.07,2987491
2021-04-05,302.86,302.86,295.89,298.75,298.75,2156413
2021-04-06,300.38,309.33,298.0201,308.52,308.52,2004768
2021-04-07,306.87,311.32,304.75,306.04,306.04,1162187
2021-04-08,309.97,313.88,308.11,312.56,312.56,1550030
2021-04-09,311.45,319.3,310.6,318.12,318.12,1357925
2021-04-12,317.78,324.26,314.36,323.87,323.87,1246911
2021-04-13,322.67,324.42,318.57,324.0,324.0,1077385
2021-04-14,323.86,325.0,321.22,323.0,323.0,1060454
2021-04-15,324.54,328.4,323.4,325.83,325.83,1058324
2021-04-16,325.51,325.73,321.51,324.1,324.1,923436
2021-04-19,321.475,324.97,321.475,322.27,322.27,1062625
2021-04-20,322.8,323.65,314.83,316.29,316.29,868184
2021-04-21,316.9,326.68,316.7,326.68,326.68,1243755
2021-04-22,326.18,338.88,326.18,338.75,338.75,2146708
2021-04-23,338.61,342.46,336.71,340.98,340.98,1641581
2021-04-26,340.61,341.12,334.84,337.8,337.8,787512
2021-04-27,338.0,341.4754,336.2,339.28,339.28,617662
2021-04-28,339.27,342.0,335.59,338.06,338.06,626200
2021-04-29,340.84,347.0,339.17,342.9,342.9,1067486
2021-04-30,342.86,344.453,334.99,335.27,335.27,1091914
2021-05-03,336.47,337.02,332.76,335.38,335.38,757058
2021-05-04,330.0,331.99,321.88,324.9,324.9,1025430
2021-05-05,326.86,330.74,321.02,322.09,322.09,823876
2021-05-06,320.5,323.77,317.29,321.28,321.28,742280
2021-05-07,322.03,331.5497,322.03,330.24,330.24,860000
2021-05-10,330.0,331.645,324.15,324.26,324.26,857030
2021-05-11,318.69,323.77,316.4,322.04,322.04,1199992
2021-05-12,317.02,321.7,304.3,305.21,305.21,1312800
2021-05-13,307.78,311.04,304.0,307.93,307.93,854344
2021-05-14,309.42,316.775,309.0,314.65,314.65,606470
2021-05-17,311.5,314.65,309.12,314.54,314.54,631854
2021-05-18,314.3,316.58,310.7878,312.03,312.03,653590
2021-05-19,307.46,310.92,304.38,310.31,310.31,737706
2021-05-20,310.91,320.04,310.72,319.17,319.17,846194
2021-05-21,322.87,322.87,310.4118,313.2,313.2,1186922
2021-05-24,315.24,320.4,313.495,318.19,318.19,735903
2021-05-25,320.84,324.55,318.815,324.11,324.11,967871
2021-05-26,325.91,330.03,324.37,329.76,329.76,1049896
2021-05-27,327.52,331.4,323.72,328.11,328.11,1744360
2021-05-28,330.52,330.52,323.0,323.13,323.13,910367
2021-06-01,322.44,323.39,315.9,318.62,318.62,1318383
2021-06-02,319.91,321.71,315.79,320.78,320.78,1124855
2021-06-03,318.63,320.92,313.06,317.36,317.36,1954918
2021-06-04,321.86,331.03,318.5,329.52,329.52,2591129
2021-06-07,330.53,338.2,330.11,331.61,331.61,1444637
2021-06-08,334.87,335.49,328.33,331.0,331.0,1134105
2021-06-09,331.09,331.769,325.6,327.22,327.22,861443
2021-06-10,329.02,332.76,327.505,329.8,329.8,671516
2021-06-11,331.1,338.69,329.5375,338.3,338.3,957684
2021-06-14,340.77,347.24,335.2001,337.62,337.62,895839
2021-06-15,336.39,336.572,333.4158,335.19,335.19,644750
2021-06-16,337.52,339.14,333.47,337.26,337.26,841191
2021-06-17,335.15,351.1,334.5,349.4,349.4,2003590
2021-06-18,346.21,351.259,343.49,347.57,347.57,1509855
2021-06-21,348.17,354.49,345.715,352.29,352.29,829092
2021-06-22,352.28,360.25,352.05,359.11,359.11,921867
2021-06-23,358.26,362.17,357.02,359.4,359.4,684635
2021-06-24,362.84,364.96,361.17,361.91,361.91,768231
2021-06-25,365.0,371.0,361.0,363.69,363.69,1707682
2021-06-28,365.06,367.79,363.52,363.79,363.79,1222264
2021-06-29,363.79,368.32,363.15,366.66,366.66,648919
2021-06-30,366.34,367.25,364.4907,364.97,364.97,664016
2021-07-01,363.79,366.51,361.51,364.23,364.23,880848
2021-07-02,365.87,369.55,365.51,368.47,368.47,697894
2021-07-06,369.95,372.41,364.74,371.37,371.37,948029
2021-07-07,374.0,378.0,371.26,377.82,377.82,836855
2021-07-08,370.6848,375.15,368.68,373.53,373.53,795552
2021-07-09,373.91,378.425,372.77,377.42,377.42,671408
2021-07-12,375.93,378.0,366.58,368.91,368.91,806003
2021-07-13,367.04,372.62,365.875,370.77,370.77,647176
2021-07-14,377.34,385.9,375.825,376.99,376.99,2119371
2021-07-15,379.61,380.82,370.38,376.17,376.17,1186286
2021-07-16,376.41,378.5,370.98,371.69,371.69,623858
2021-07-19,367.78,373.72,364.51,373.04,373.04,904133
2021-07-20,375.27,387.9174,373.56,383.3,383.3,1638132
2021-07-21,383.2,386.3661,380.5,383.62,383.62,682512
2021-07-22,383.75,397.5,383.75,395.85,395.85,1196887
2021-07-23,394.99,405.95,394.13,402.79,402.79,1215009
2021-07-26,402.57,405.935,392.535,395.44,395.44,799307
2021-07-27,394.27,394.27,385.735,391.43,391.43,652264
2021-07-28,392.35,394.77,389.13,393.09,393.09,511603
2021-07-29,394.54,406.24,394.315,402.87,402.87,1051983
2021-07-30,399.14,403.21,397.83,400.17,400.17,563895
2021-08-02,402.77,406.21,399.58,402.65,402.65,512247
2021-08-03,402.76,409.2505,402.76,407.51,407.51,575040
2021-08-04,409.0,413.49,408.12,410.47,410.47,593258
2021-08-05,411.0,415.34,410.63,414.39,414.39,554030
2021-08-06,412.44,413.0,406.53,408.52,408.52,609095
2021-08-09,409.09,410.6499,406.755,407.64,407.64,546339
2021-08-10,407.33,411.54,404.575,405.87,405.87,602142
2021-08-11,406.26,413.49,405.87,408.82,408.82,567690
2021-08-12,407.52,410.04,406.39,408.91,408.91,397416
2021-08-13,409.0,409.135,403.17,408.72,408.72,429292
2021-08-16,406.25,407.569,400.3701,407.42,407.42,572919
2021-08-17,403.12,403.25,388.2,392.48,392.48,1099381
2021-08-18,392.6,397.35,390.99,391.38,391.38,512585
2021-08-19,385.5,399.0,384.36,396.49,396.49,840939
2021-08-20,395.92,398.2,391.58,397.83,397.83,635486
2021-08-23,398.57,406.32,396.56,404.36,404.36,546458
2021-08-24,403.5,406.83,402.0,405.8,405.8,490974
2021-08-25,404.85,409.04,402.65,408.32,408.32,506123
2021-08-26,408.54,408.54,402.0,404.44,404.44,469085
2021-08-27,403.76,409.34,402.83,405.97,405.97,465839
2021-08-30,406.44,417.85,406.41,414.52,414.52,857947
2021-08-31,413.97,413.97,397.36,400.17,400.17,1275483
