Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,150.41,151.0,143.47,144.79,144.79,9757204
2021-02-25,150.78,160.98,145.86,148.38,148.38,15172131
2021-02-26,157.98,159.6,150.88,154.81,154.81,13445239
2021-03-01,154.4631,157.7799,145.2501,157.4,157.4,15351555
2021-03-02,153.5,154.4713,146.44,146.81,146.81,8630604
2021-03-03,146.09,147.32,131.0,131.22,131.22,13683455
2021-03-04,128.7,135.47,126.69,132.3,132.3,10929537
2021-03-05,133.0732,134.27,121.12,132.19,132.19,12039641
2021-03-08,129.15,133.55,122.48,123.47,123.47,6839340
2021-03-09,127.11,132.3,125.6,130.87,130.87,7834221
2021-03-10,133.62,135.715,128.7932,129.75,129.75,5555909
2021-03-11,132.9818,140.85,131.48,140.47,140.47,8140123
2021-03-12,134.04,138.7424,133.2,136.99,136.99,4923074
2021-03-15,136.77,143.85,135.01,143.66,143.66,7361627
2021-03-16,148.5,157.75,145.84,156.02,156.02,16991621
2021-03-17,150.25,152.0831,143.2501,147.55,147.55,12894891
2021-03-18,144.45,147.61,140.86,141.46,141.46,7144867
2021-03-19,143.06,145.18,138.53,143.74,143.74,6933748
2021-03-22,144.19,147.9199,141.85,145.6,145.6,6050730
2021-03-23,145.61,146.19,136.38,136.52,136.52,6961240
2021-03-24,137.25,137.74,131.01,131.61,131.61,5864615
2021-03-25,127.33,134.31,126.42,133.33,133.33,5696322
2021-03-26,133.38,135.6,128.02,133.28,133.28,4047117
2021-03-29,130.11,131.3,121.9,123.42,123.42,10814820
2021-03-30,123.15,123.5977,117.3411,118.49,118.49,11061638
2021-03-31,121.1,131.8,119.328,130.95,130.95,10015691
2021-04-01,132.2,136.6372,130.34,132.55,132.55,7269665
2021-04-05,132.6,133.1925,127.04,129.91,129.91,5218269
2021-04-06,130.11,138.2494,128.16,133.53,133.53,7438195
2021-04-07,132.37,135.16,130.21,131.47,131.47,4380038
2021-04-08,132.85,135.9,132.06,133.88,133.88,4530017
2021-04-09,133.51,144.0,133.34,140.92,140.92,9918176
2021-04-12,142.37,143.49,136.36,139.4,139.4,6060181
2021-04-13,146.8,152.11,145.35,149.71,149.71,13729029
2021-04-14,153.66,160.92,152.49,160.03,160.03,15389838
2021-04-15,159.0,163.58,155.23,159.87,159.87,10340444
2021-04-16,158.68,171.92,158.21,170.81,170.81,19044899
2021-04-19,166.61,168.1958,159.6,161.91,161.91,10006646
2021-04-20,160.32,162.73,153.27,156.78,156.78,7154386
2021-04-21,158.6,170.11,157.6901,169.5,169.5,11352741
2021-04-22,168.26,179.0,164.62,168.1,168.1,15922383
2021-04-23,170.3046,175.51,168.35,173.63,173.63,8855331
2021-04-26,171.79,179.6,168.88,177.61,177.61,12201731
2021-04-27,178.3604,185.5299,178.18,183.41,183.41,12925677
2021-04-28,182.37,182.89,176.12,178.68,178.68,8375405
2021-04-29,183.3265,186.8,174.76,175.67,175.67,8362706
2021-04-30,175.59,184.0,174.52,178.82,178.82,9495237
2021-05-03,183.9,189.0,182.2101,186.02,186.02,14631036
2021-05-04,185.3347,188.49,171.63,173.59,173.59,16924196
2021-05-05,178.1,180.7,156.81,162.84,162.84,18914247
2021-05-06,148.0,163.47,143.56,160.5,160.5,29662344
2021-05-07,165.78,169.0196,160.8161,163.15,163.15,11952612
2021-05-10,164.01,164.7599,155.71,158.55,158.55,8809685
2021-05-11,151.31,161.99,150.06,158.99,158.99,8087399
2021-05-12,154.11,158.91,151.15,152.68,152.68,5720784
2021-05-13,152.6,155.62,146.85,149.87,149.87,5765024
2021-05-14,150.85,162.46,150.4,161.38,161.38,6512867
2021-05-17,159.0,163.37,156.7235,160.43,160.43,4231645
2021-05-18,160.16,165.75,157.9,159.53,159.53,4811395
2021-05-19,155.74,160.07,154.51,157.99,157.99,3943745
2021-05-20,159.92,166.81,158.89,165.97,165.97,4826341
2021-05-21,168.93,169.28,161.35,161.45,161.45,5169131
2021-05-24,162.8813,166.8,161.01,164.17,164.17,4501276
2021-05-25,166.56,171.74,165.1001,169.26,169.26,7759917
2021-05-26,168.7,175.62,168.51,175.59,175.59,6885242
2021-05-27,174.2,180.0,173.63,179.54,179.54,10844891
2021-05-28,178.6233,186.64,178.36,185.01,185.01,8567185
2021-06-01,184.08,185.2791,178.8,184.66,184.66,6010881
2021-06-02,183.9,194.5,183.28,191.6,191.6,10142521
2021-06-03,188.89,200.0,188.6331,195.22,195.22,9270151
2021-06-04,197.9,207.38,197.33,206.07,206.07,11103272
2021-06-07,207.1026,227.71,206.42,219.57,219.57,19034363
2021-06-08,220.1,222.3449,202.5,213.0,213.0,11857625
2021-06-09,212.3,221.5,212.01,217.44,217.44,8016465
2021-06-10,216.62,221.88,207.7,217.0,217.0,11763149
2021-06-11,211.9,218.9,211.8,218.85,218.85,5576026
2021-06-14,213.2727,213.4899,198.0,207.41,207.41,11743700
2021-06-15,203.49,207.85,199.2,201.59,201.59,6786260
2021-06-16,200.0,203.98,193.2016,197.84,197.84,7264747
2021-06-17,200.0,203.9223,197.72,202.47,202.47,4955160
2021-06-18,201.3928,204.84,194.51,199.19,199.19,6663813
2021-06-21,200.86,211.04,200.0,208.24,208.24,7423063
2021-06-22,210.76,222.4048,210.2501,221.36,221.36,10066344
2021-06-23,219.98,224.57,205.55,212.04,212.04,14558440
2021-06-24,214.38,221.49,213.46,220.14,220.14,8171884
2021-06-25,221.26,226.51,216.33,219.94,219.94,13315616
2021-06-28,223.0,225.0914,215.6,222.94,222.94,6190647
2021-06-29,221.19,238.4,219.33,234.46,234.46,11417039
2021-06-30,237.98,245.7,232.41,234.98,234.98,9319109
2021-07-01,236.3,236.71,227.67,235.11,235.11,5933146
2021-07-02,235.1,238.9,230.14,234.3,234.3,4200450
2021-07-06,229.62,234.6,225.43,233.34,233.34,4956460
2021-07-07,231.76,231.86,220.8201,221.9,221.9,4889299
2021-07-08,215.66,233.41,214.07,232.79,232.79,8719363
2021-07-09,231.965,233.7999,224.28,232.81,232.81,5305101
2021-07-12,230.98,242.389,229.2,239.34,239.34,6938180
2021-07-13,239.14,239.8195,233.801,235.15,235.15,4186383
2021-07-14,237.245,249.92,237.22,246.66,246.66,9420397
2021-07-15,246.66,261.22,245.505,259.675,259.675,15130782
2021-07-16,276.92,288.88,271.5,286.43,286.43,41397251
2021-07-19,284.54,317.8796,283.14,313.59,313.59,35526769
2021-07-20,318.22,342.51,292.0,307.33,307.33,123115470
2021-07-21,298.51,325.88,293.62,321.11,321.11,30859285
2021-07-22,319.0,329.6,316.29,323.48,323.48,16491283
2021-07-23,330.9,349.45,325.17,348.83,348.83,23431397
2021-07-26,352.0,362.0,329.15,335.87,335.87,23387796
2021-07-27,335.3088,344.889,318.29,328.5,328.5,17196688
2021-07-28,333.01,350.99,327.5,349.32,349.32,13091567
