Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,48.2299,48.916,47.0978,48.8962,48.8962,12880511.384838
2021-02-25,48.5381,49.0558,45.7992,46.2162,46.2162,11561910.164599
2021-02-26,47.0001,48.2299,46.275,47.9237,47.9237,11586792.062405
2021-03-01,48.7226,49.1934,47.8349,49.1534,49.1534,9417698.5594687
2021-03-02,49.4417,49.5115,47.426,47.4758,47.4758,9790589.1452891
2021-03-03,46.7427,47.2175,44.9694,45.2237,45.2237,17024280.302887
2021-03-04,42.7412,43.2679,39.5954,39.798,39.798,33367986.509428
2021-03-05,40.3006,41.322,37.6395,41.2032,41.2032,21834434.30903
2021-03-08,42.0471,42.6026,39.6742,39.764,39.764,18194388.217872
2021-03-09,41.9473,44.1605,41.312,43.5371,43.5371,20475390.60534
2021-03-10,44.3102,44.5594,42.4151,42.5238,42.5238,22132654.136056
2021-03-11,44.1705,46.3049,43.9521,45.9578,45.9578,19036087.566542
2021-03-12,44.5824,47.1178,44.5784,46.8115,46.8115,16337728.615587
2021-03-15,47.039,48.0234,46.8016,48.0035,48.0035,8435164.8819455
2021-03-16,48.3685,48.8263,47.2275,47.6055,47.6055,9390144.6925422
2021-03-17,46.4835,48.1361,45.9678,47.7452,47.7452,11506403.389954
2021-03-18,47.049,47.0779,45.1439,45.2137,45.2137,9794456.231554
2021-03-19,45.7494,46.8963,45.1839,46.653,46.653,10247790.633653
2021-03-22,47.4559,48.1949,46.9602,47.3172,47.3172,8033474.178686
2021-03-23,47.387,47.4658,45.5948,45.8092,45.8092,8555478.6884794
2021-03-24,46.5831,47.0879,44.8457,44.9155,44.9155,18942111.454873
2021-03-25,43.7935,44.7759,43.3277,44.4198,44.4198,11156295.226016
2021-03-26,44.1705,46.7229,44.0907,46.6231,46.6231,10654169.564907
2021-03-29,46.5004,46.7917,45.5698,46.1663,46.1663,9372610.9604701
2021-03-30,45.9948,47.1776,45.5798,46.9801,46.9801,8437873.9478227
2021-03-31,47.7452,49.2332,47.5158,48.6179,48.6179,10297430.104999
2021-04-01,49.332,49.6292,48.4204,49.2921,49.2921,11167239.771951
2021-04-05,50.1678,50.8321,49.7489,50.6924,50.6924,9628443.2308384
2021-04-06,50.2147,50.842,49.7389,50.473,50.473,9738290.7388189
2021-04-07,50.3264,50.5528,49.7189,49.9883,49.9883,8190953.9226733
2021-04-08,50.6834,51.1702,49.5993,50.0681,50.0681,7654984.9904016
2021-04-09,49.331,49.8487,48.9948,49.2911,49.2911,7098426.3553718
2021-04-12,48.9948,49.7589,48.4094,49.341,49.341,12267524.571928
2021-04-13,49.4208,49.6741,47.8419,48.4463,48.4463,7730369.6111154
2021-04-14,48.5161,49.0148,47.5228,47.7721,47.7721,6496931.5162166
2021-04-15,48.2977,48.7006,47.8618,48.4763,48.4763,6671537.9305639
2021-04-16,48.3765,48.576,47.1148,47.6125,47.6125,13020647.893612
2021-04-19,47.1447,47.5228,45.8042,46.3608,46.3608,9783241.98217
2021-04-20,45.9328,46.8375,45.3763,45.5549,45.5549,21735633.613719
2021-04-21,45.3375,47.2145,44.9485,47.1846,47.1846,9566897.7057212
2021-04-22,47.4728,47.4728,44.76,44.8298,44.8298,11181830.828838
2021-04-23,45.1181,46.1812,44.9784,45.8142,45.8142,10313687.508107
2021-04-26,46.1912,47.1048,45.9818,47.026,47.026,10057340.896216
2021-04-27,47.1647,47.443,45.5449,45.6446,45.6446,10043843.692353
2021-04-28,45.5599,46.7288,45.2177,46.5094,46.5094,9710868.2144647
2021-04-29,47.0061,47.1696,45.893,46.9662,46.9662,5661265.9049444
2021-04-30,46.1014,46.4206,44.7699,44.9285,44.9285,8861536.9600003
2021-05-03,45.1979,45.2577,43.8463,44.0338,44.0338,7406106.8580508
2021-05-04,43.4195,44.2234,42.4211,44.2134,44.2134,9976737.6641432
2021-05-05,44.5824,45.3474,44.1136,44.5126,44.5126,6391289.9783895
2021-05-06,44.1735,45.3813,43.7765,45.2577,45.2577,6802767.2071955
2021-05-07,45.6147,46.291,45.2277,45.6746,45.6746,5934852.482697
2021-05-10,45.2776,45.5848,44.0139,44.0438,44.0438,9064287.7815411
2021-05-11,42.4161,44.2982,41.8077,43.9451,43.9451,8276908.1112912
2021-05-12,42.6335,42.821,40.904,41.2522,41.2522,13521620.547409
2021-05-13,41.7688,42.5747,40.537,41.3418,41.3418,9232360.1535786
2021-05-14,42.2166,43.5391,41.6202,43.0903,43.0903,7806097.126178
2021-05-17,42.6534,43.0404,41.9573,42.5447,42.5447,8775596.8079933
2021-05-18,42.811,42.9606,42.0769,42.1867,42.1867,6393231.041135
2021-05-19,41.2022,44.5525,40.9938,44.2334,44.2334,13155789.374187
2021-05-20,44.5426,46.1364,44.4727,45.9728,45.9728,14364744.612071
2021-05-21,46.4894,46.4894,45.6247,45.9328,45.9328,7650129.3256929
2021-05-24,46.3807,47.5626,46.2211,47.3242,47.3242,7983916.9217747
2021-05-25,47.6724,48.1291,47.2245,47.7322,47.7322,8571292.9357331
2021-05-26,48.0214,48.4862,47.5526,48.3177,48.3177,6675638.6261366
2021-05-27,48.0015,48.3665,47.5576,48.0603,48.0603,6952926.8586701
2021-05-28,48.3475,48.9051,47.9017,48.0015,48.0015,4195062.7042347
2021-06-01,48.4363,48.6458,47.2744,47.453,47.453,5258012.124815
2021-06-02,47.413,47.7322,46.9662,47.2245,47.2245,4953074.7769249
2021-06-03,46.7089,47.6026,46.4795,46.8874,46.8874,6706155.2205488
2021-06-04,47.3342,48.4862,47.3242,48.3965,48.3965,7311254.4608247
2021-06-07,48.6059,48.6149,47.8319,47.9715,47.9715,11057812.359677
2021-06-08,50.863,52.3232,49.0946,50.4142,50.4142,20667385.372576
2021-06-09,50.2356,50.9817,49.8087,50.0381,50.0381,8786197.4569639
2021-06-10,50.0082,51.5971,49.9583,51.4774,51.4774,9541011.1876303
