Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,87.6063,91.8729,87.0416,91.7932,91.7932,21450291.848274
2021-02-25,90.8002,92.3679,86.8922,87.427,87.427,22724789.525458
2021-02-26,89.0354,92.2085,87.5365,90.8102,90.8102,22968148.458417
2021-03-01,93.7961,94.9972,91.843,94.0151,94.0151,20066593.311128
2021-03-02,92.834,94.1546,90.1848,90.374,90.374,18827624.720813
2021-03-03,89.8591,92.5969,87.6959,88.41,88.41,26633477.060098
2021-03-04,88.1122,89.0454,81.2074,83.6663,83.6663,32224403.852499
2021-03-05,86.8424,88.6171,82.6405,88.2307,88.2307,30569425.148885
2021-03-08,87.8772,89.0155,84.2031,84.3814,84.3814,22888238.386137
2021-03-09,87.3075,89.4707,85.6223,88.5973,88.5973,22478050.886227
2021-03-10,89.3014,89.3014,84.6393,84.7389,84.7389,23593220.41412
2021-03-11,86.9021,89.5105,86.1681,88.6071,88.6071,20880602.494621
2021-03-12,86.8822,87.8334,85.7499,87.0804,87.0804,22090023.254827
2021-03-15,87.0804,88.2108,85.463,88.152,88.152,16283421.801987
2021-03-16,90.0353,93.9355,89.401,90.7116,90.7116,28765136.926158
2021-03-17,90.613,94.7342,89.391,94.0151,94.0151,24811759.151939
2021-03-18,92.2384,92.7463,88.7068,89.1142,89.1142,27315585.324396
2021-03-19,89.645,91.9516,88.1899,89.7993,89.7993,25161170.175144
2021-03-22,91.108,91.6936,88.9458,90.5632,90.5632,19519207.408277
2021-03-23,90.3043,90.5532,84.3017,84.729,84.729,32297645.882786
2021-03-24,86.3743,86.464,82.268,82.3477,82.3477,24424789.812401
2021-03-25,80.5051,83.7659,79.8568,83.4303,83.4303,23817432.69857
2021-03-26,83.498,87.4469,83.3705,87.2975,87.2975,24138883.32946
2021-03-29,87.0665,87.5565,85.0955,85.9091,85.9091,21945319.413866
2021-03-30,85.5825,86.5336,84.5795,85.8593,85.8593,14007068.135686
2021-03-31,86.7528,88.3801,86.0287,87.5166,87.5166,25573314.611336
2021-04-01,92.2683,93.6387,90.5334,91.6837,91.6837,40015183.063279
2021-04-05,93.1876,93.9255,91.7434,93.0123,93.0123,19951967.450279
2021-04-06,93.0919,95.3467,91.9316,92.7563,92.7563,23028024.28256
2021-04-07,93.5092,94.3229,91.8132,93.2214,93.2214,17761111.516804
2021-04-08,94.2532,95.6316,93.0421,94.541,94.541,17956742.892457
2021-04-09,93.6038,94.6306,92.5771,94.551,94.551,14191770.187881
2021-04-12,94.4414,96.1983,94.0053,94.8388,94.8388,18967391.539868
2021-04-13,95.534,96.0588,90.6818,91.4257,91.4257,27316802.259631
2021-04-14,90.9397,91.8032,88.8064,89.9577,89.9577,19268834.028493
2021-04-15,91.0283,91.2375,88.7417,89.5603,89.5603,16143945.159733
2021-04-16,89.7247,90.613,89.371,89.9477,89.9477,12456579.186324
2021-04-19,89.9527,89.9677,85.8395,87.7158,87.7158,21530812.396315
2021-04-20,87.686,88.2506,85.8495,86.7926,86.7926,17534749.514254
2021-04-21,86.3743,88.8562,85.6502,88.7865,88.7865,14898417.971273
2021-04-22,87.5067,87.666,83.2411,84.0448,84.0448,34313868.597841
2021-04-23,84.5697,85.7797,83.9004,85.3534,85.3534,18312448.44288
2021-04-26,85.7897,87.6063,85.4331,87.1491,87.1491,14874665.644609
2021-04-27,88.6271,89.4806,87.3373,88.7566,88.7566,17821067.666705
2021-04-28,86.9748,87.0705,84.6792,85.3534,85.3534,19587513.42073
2021-04-29,87.0316,87.3971,84.8784,87.3673,87.3673,16593777.437544
2021-04-30,86.2508,87.7846,84.8883,85.3933,85.3933,14663377.774634
2021-05-03,86.2866,86.3265,83.2111,84.3515,84.3515,16429594.600249
2021-05-04,83.4791,84.7688,81.3846,83.746,83.746,17991957.704799
2021-05-05,84.8186,85.2748,83.3705,84.48,84.48,13276462.190877
2021-05-06,84.1982,84.4501,82.6256,84.1344,84.1344,13825573.089382
2021-05-07,85.235,85.6413,84.3217,85.3046,85.3046,12847059.765563
2021-05-10,84.2818,84.3316,80.1646,80.2144,80.2144,25059886.422713
2021-05-11,76.6628,80.1247,76.2157,80.045,80.045,23411862.925677
2021-05-12,78.5182,79.3409,75.8093,76.1957,76.1957,23658551.361308
2021-05-13,77.357,78.2454,75.9288,76.5831,76.5831,20313457.459356
2021-05-14,78.1707,79.5152,76.4736,79.0741,79.0741,18385624.204416
2021-05-17,78.4734,79.7881,77.109,79.7582,79.7582,15130448.964199
2021-05-18,79.9166,80.2841,78.1806,78.2603,78.2603,21059314.253408
2021-05-19,76.6051,79.6397,75.5613,79.3011,79.3011,27516264.169873
2021-05-20,79.8668,80.8488,78.8947,80.4933,80.4933,17258696.993685
2021-05-21,81.1276,81.3458,79.7393,80.0849,80.0849,13180539.178724
2021-05-24,80.7771,82.9622,80.7203,82.2481,82.2481,15855071.644104
2021-05-25,82.9074,83.0518,79.0829,80.5919,80.5919,26480253.668421
2021-05-26,80.9434,81.7919,80.3837,81.5937,81.5937,12709688.662242
2021-05-27,81.8119,84.0846,81.6824,83.2709,83.2709,22463051.054978
