Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,545.5,554.1999,538.93,551.83,551.83,1113512
2021-02-25,550.0,556.49,526.89,528.79,528.79,1761653
2021-02-26,532.5,540.32,521.15,533.46,533.46,1799081
2021-03-01,544.82,556.64,540.0449,556.47,556.47,1234307
2021-03-02,559.56,562.43,548.31,549.3,549.3,1121525
2021-03-03,544.29,545.785,513.67,516.0,516.0,1806006
2021-03-04,510.94,517.75,484.9,490.63,490.63,2831315
2021-03-05,496.24,496.24,467.15,486.96,486.96,3232858
2021-03-08,490.78,497.26,462.505,464.05,464.05,1969761
2021-03-09,480.71,493.56,478.78,488.95,488.95,2448208
2021-03-10,497.11,499.0,473.96,474.0,474.0,1927029
2021-03-11,494.49,511.71,490.22,502.87,502.87,1923300
2021-03-12,489.0,494.8794,482.74,489.22,489.22,1505018
2021-03-15,490.0,497.21,486.4701,496.77,496.77,970073
2021-03-16,504.28,509.15,495.31,498.99,498.99,1138519
2021-03-17,491.46,492.73,476.37,485.0,485.0,2485959
2021-03-18,479.69,479.8,464.665,466.18,466.18,1870161
2021-03-19,468.49,475.57,463.85,470.84,470.84,1893885
2021-03-22,471.63,484.44,471.32,476.65,476.65,1188290
2021-03-23,480.11,486.44,476.98,478.17,478.17,1140936
2021-03-24,480.63,481.5,470.0,472.32,472.32,1476426
2021-03-25,467.88,474.0,463.8,472.18,472.18,1903882
2021-03-26,473.49,495.45,471.0001,495.0,495.0,2440183
2021-03-29,489.46,492.94,482.05,485.39,485.39,1720277
2021-03-30,480.0,490.99,473.21,487.57,487.57,1253994
2021-03-31,493.44,506.89,490.515,500.11,500.11,1568389
2021-04-01,508.0,512.905,502.4987,507.01,507.01,1063926
2021-04-05,511.97,516.07,509.18,514.02,514.02,1588791
2021-04-06,511.4,515.14,506.62,509.08,509.08,972859
2021-04-07,511.06,512.89,506.83,510.73,510.73,646760
2021-04-08,520.0,528.82,517.48,524.04,524.04,1260117
2021-04-09,518.09,530.61,510.0,530.0,530.0,1453052
2021-04-12,529.18,541.215,524.73,537.0,537.0,1329013
2021-04-13,539.0,551.28,539.0,548.93,548.93,1364392
2021-04-14,551.0,560.19,542.84,544.84,544.84,1341065
2021-04-15,553.46,560.17,552.915,559.35,559.35,885183
2021-04-16,560.56,560.79,550.26,556.91,556.91,879687
2021-04-19,553.42,556.88,546.0,549.37,549.37,895372
2021-04-20,548.96,552.92,536.5,540.78,540.78,794840
2021-04-21,545.16,549.07,537.13,546.47,546.47,1032519
2021-04-22,547.0,558.0,543.85,548.49,548.49,900436
2021-04-23,553.28,555.89,549.33,552.7,552.7,780477
2021-04-26,554.0,559.39,549.25,559.21,559.21,671972
2021-04-27,557.95,565.29,553.59,562.63,562.63,961234
2021-04-28,559.25,559.79,552.44,557.24,557.24,1715568
2021-04-29,521.0,530.8,503.5,505.0,505.0,8692938
2021-04-30,500.28,519.82,500.28,506.37,506.37,3440845
2021-05-03,507.46,508.2209,488.78,490.32,490.32,2419095
2021-05-04,485.52,489.68,473.73,483.3,483.3,2469473
