Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,124.769,125.18,124.161,124.984,124.984,5224595.6992427
2021-02-25,124.298,124.984,122.838,123.014,123.014,6025966.2242976
2021-02-26,123.552,123.838,121.661,122.249,122.249,8801743.7752753
2021-03-01,123.592,124.877,123.338,123.602,123.602,5587833.0355209
2021-03-02,123.495,124.926,123.377,124.033,124.033,5932586.1194684
2021-03-03,122.838,123.515,122.054,122.201,122.201,7931732.3193758
2021-03-04,123.268,125.671,122.397,122.896,122.896,9543203.9426162
2021-03-05,123.652,127.258,123.23,126.896,126.896,10679387.204012
2021-03-08,127.083,127.985,125.907,126.034,126.034,9052686.2950104
2021-03-09,126.808,127.719,125.917,126.141,126.141,9362276.3555959
2021-03-10,126.396,128.259,124.514,127.425,127.425,8168642.0672266
2021-03-11,127.201,128.367,126.955,127.073,127.073,4674891.9265344
2021-03-12,126.974,127.612,126.514,126.906,126.906,5530402.409467
2021-03-15,127.405,127.465,125.887,126.896,126.896,5650210.8843441
2021-03-16,126.936,128.367,126.622,127.818,127.818,5813005.1148342
2021-03-17,128.161,128.347,127.23,127.455,127.455,6499474.6059902
2021-03-18,126.248,126.936,125.347,126.406,126.406,6790031.6295337
2021-03-19,126.201,128.789,126.083,128.288,128.288,16894061.925699
2021-03-22,129.367,131.837,128.867,131.445,131.445,8191421.7329762
2021-03-23,132.053,133.69,131.818,133.033,133.033,7315992.8131328
2021-03-24,132.592,133.63,132.366,132.396,132.396,5328232.3659165
2021-03-25,132.759,133.768,131.955,133.2,133.2,6109735.4563572
2021-03-26,133.19,136.386,132.71,136.131,136.131,7113901.3131189
2021-03-29,136.269,138.269,135.847,138.121,138.121,6401178.8998155
2021-03-30,137.052,138.062,135.562,135.974,135.974,4584434.2532999
2021-03-31,136.7,136.71,134.67,134.905,134.905,6560714.0835535
2021-04-01,134.69,135.739,133.63,134.768,134.768,5056748.1612062
2021-04-05,135.298,137.67,134.797,136.543,136.543,6270087.6968866
2021-04-06,136.425,137.553,135.994,137.042,137.042,4981833.9478809
2021-04-07,137.366,137.455,136.406,136.788,136.788,5083837.5210178
2021-04-08,137.052,137.513,135.494,135.974,135.974,7050725.7883771
2021-04-09,135.671,136.523,135.063,136.004,136.004,5190485.3632824
2021-04-12,135.641,136.847,135.494,136.406,136.406,4599021.9301709
2021-04-13,135.514,137.336,135.318,136.435,136.435,5538880.0112064
2021-04-14,136.004,136.141,134.74,135.552,135.552,4911937.3404942
2021-04-15,135.121,136.484,134.887,135.749,135.749,5008222.5361373
2021-04-16,136.837,137.65,135.896,137.513,137.513,6794981.9124409
2021-04-19,137.817,138.886,136.641,138.062,138.062,6941631.875968
2021-04-20,137.483,139.885,137.299,138.994,138.994,5241747.7715864
2021-04-21,140.543,140.975,139.454,140.199,140.199,6621735.2712872
2021-04-22,139.484,139.885,138.68,139.327,139.327,5141764.9094404
2021-04-23,138.797,139.582,138.366,139.091,139.091,4565517.5014941
2021-04-26,138.837,139.043,136.376,136.739,136.739,6099188.1814221
2021-04-27,136.052,136.563,135.562,136.288,136.288,4920831.1209738
2021-04-28,136.866,137.062,135.181,135.278,135.278,5202831.9992412
2021-04-29,135.543,137.758,135.415,137.308,137.308,4927278.8313089
2021-04-30,136.7,137.593,135.935,137.513,137.513,5295791.8451465
2021-05-03,138.337,140.013,137.455,139.063,139.063,6405390.669468
2021-05-04,139.238,140.004,136.866,137.326,137.326,6923356.7330533
