Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,466.11,469.4712,457.17,458.6,458.6,1103374
2021-02-25,460.31,465.0,448.33,453.19,453.19,1126147
2021-02-26,455.84,457.17,445.566,450.57,450.57,1193692
2021-03-01,454.49,463.85,453.83,463.05,463.05,856847
2021-03-02,463.13,466.0,454.3462,454.86,454.86,759337
2021-03-03,456.14,458.65,446.38,446.73,446.73,897966
2021-03-04,445.37,451.8535,441.0,449.38,449.38,1093793
2021-03-05,451.58,463.83,449.3,461.57,461.57,1223527
2021-03-08,456.49,473.5,456.49,463.19,463.19,1014330
2021-03-09,469.8,478.13,469.32,470.63,470.63,868749
2021-03-10,473.89,474.98,465.21,467.95,467.95,724925
2021-03-11,469.0,474.89,466.725,469.96,469.96,745125
2021-03-12,467.0,471.82,463.65,471.46,471.46,552759
2021-03-15,473.01,484.7,472.26,483.94,483.94,728813
2021-03-16,485.0,490.22,479.61,482.17,482.17,698426
2021-03-17,495.0,497.705,483.15,496.01,496.01,1100956
2021-03-18,485.08,491.88,474.31,474.68,474.68,921345
2021-03-19,478.31,482.59,472.48,473.7,473.7,1078302
2021-03-22,471.89,484.61,471.23,483.22,483.22,911877
2021-03-23,486.16,488.7162,466.71,469.76,469.76,1086441
2021-03-24,471.51,472.08,458.25,460.32,460.32,1053803
2021-03-25,458.31,465.84,451.6,463.48,463.48,1413506
2021-03-26,461.13,477.32,458.44,476.91,476.91,1645463
2021-03-29,472.34,488.9,471.91,481.52,481.52,771248
2021-03-30,479.84,480.84,469.36,470.67,470.67,610469
2021-03-31,472.64,475.7,470.67,473.14,473.14,767654
2021-04-01,472.0,478.15,469.37,474.93,474.93,763085
2021-04-05,477.09,485.28,474.22,484.56,484.56,949103
2021-04-06,485.5,485.82,476.72,478.68,478.68,900908
2021-04-07,479.0,486.95,477.62,481.79,481.79,722484
2021-04-08,485.7697,488.99,474.84,476.36,476.36,1245151
2021-04-09,476.2175,480.2623,471.5,475.17,475.17,679574
