Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,97.6201,100.854,97.0742,100.736,100.736,7816325.3335019
2021-02-25,100.363,102.061,99.4992,99.8432,99.8432,7807339.2297345
2021-02-26,100.51,105.645,100.049,104.241,104.241,15671477.724746
2021-03-01,104.8,106.597,102.818,103.131,103.131,8219375.82089
2021-03-02,103.554,104.457,102.111,103.455,103.455,5198781.8889832
2021-03-03,103.201,104.172,102.404,102.504,102.504,5506186.6999194
2021-03-04,102.542,103.426,100.216,101.217,101.217,7473465.0362886
2021-03-05,102.347,102.347,99.1461,101.512,101.512,5761608.194185
2021-03-08,101.129,103.151,100.589,101.355,101.355,5305259.3753947
2021-03-09,102.562,104.182,102.12,102.827,102.827,5710875.7203423
2021-03-10,103.475,105.262,103.221,103.995,103.995,6297435.4440185
2021-03-11,104.615,104.772,103.505,103.564,103.564,4840178.084648
2021-03-12,103.652,104.202,102.857,104.025,104.025,3477773.9296446
2021-03-15,104.103,105.144,103.318,105.095,105.095,7369389.4125709
2021-03-16,106.696,108.404,106.038,107.451,107.451,11788882.978044
2021-03-17,107.422,107.56,105.125,106.587,106.587,10495889.395363
2021-03-18,105.459,106.41,103.731,103.848,103.848,8096887.953724
2021-03-19,104.555,105.046,102.12,102.621,102.621,22230262.924642
2021-03-22,102.68,104.624,102.287,103.799,103.799,7880982.0919174
2021-03-23,103.965,104.162,101.974,102.533,102.533,5863095.551107
2021-03-24,102.906,103.524,101.267,101.296,101.296,5939256.3965717
2021-03-25,101.335,103.927,100.423,103.593,103.593,8444676.2457263
2021-03-26,103.495,106.146,103.426,106.048,106.048,6391317.9210121
2021-03-29,105.203,106.391,102.867,105.321,105.321,5354651.3694643
2021-03-30,104.624,106.577,104.487,106.41,106.41,4718031.4490351
2021-03-31,106.47,107.707,105.369,105.449,105.449,6713425.2281826
2021-04-01,106.204,106.204,104.408,105.546,105.546,6003107.4410812
2021-04-05,106.056,107.46,106.018,107.137,107.137,7163899.7712501
2021-04-06,107.48,109.838,107.206,109.188,109.188,6989948.0742557
2021-04-07,108.964,109.778,108.708,109.228,109.228,5833853.5349025
2021-04-08,109.671,109.965,108.737,109.081,109.081,5193090.9615576
2021-04-09,108.964,109.307,108.05,109.218,109.218,4263516.1132171
2021-04-12,109.061,109.895,108.826,109.828,109.828,4878594.6459253
2021-04-13,109.798,111.545,109.699,111.329,111.329,4774532.264029
2021-04-14,111.192,112.153,110.711,111.132,111.132,4139465.711118
2021-04-15,111.074,112.802,110.769,112.576,112.576,5263355.1220633
2021-04-16,113.695,114.353,112.85,114.196,114.196,5987470.8871326
2021-04-19,114.03,114.814,112.949,113.48,113.48,5067072.6210684
2021-04-20,112.87,113.156,111.319,112.193,112.193,5867796.3977274
2021-04-21,112.026,113.166,111.8,112.654,112.654,4556970.1559375
2021-04-22,112.783,112.792,111.202,111.859,111.859,5953532.0987142
2021-04-23,111.957,113.853,111.781,113.44,113.44,4724683.9364196
2021-04-26,112.86,113.156,111.035,111.859,111.859,6139877.1219996
2021-04-27,111.614,112.311,111.242,112.085,112.085,7524340.1143626
2021-04-28,109.464,110.151,107.697,108.462,108.462,15330173.850856
2021-04-29,109.248,111.122,108.816,110.622,110.622,9260757.4794814
2021-04-30,110.004,110.926,109.513,110.485,110.485,6713749.1435076
2021-05-03,111.152,112.654,111.102,111.663,111.663,5233003.8486607
2021-05-04,111.122,111.359,109.561,110.112,110.112,6492384.595452
2021-05-05,110.21,110.858,109.198,109.504,109.504,4847385.7099323
2021-05-06,109.671,110.799,109.14,110.73,110.73,4262508.7161839
2021-05-07,111.084,111.781,110.239,110.338,110.338,5044084.8190027
2021-05-10,110.563,112.016,110.21,110.298,110.298,5968427.1106607
2021-05-11,109.356,109.708,108.247,109.571,109.571,8057444.6419821
2021-05-12,108.384,108.894,106.146,106.371,106.371,8221515.9029594
2021-05-13,106.725,107.707,105.743,107.049,107.049,8257116.030671
2021-05-14,107.55,108.109,106.813,107.727,107.727,7056191.814044
2021-05-17,107.746,107.794,106.41,107.52,107.52,4666656.2375504
2021-05-18,107.893,108.717,107.55,107.598,107.598,5343945.8661096
2021-05-19,106.186,106.509,105.488,106.253,106.253,6190400.7825039
2021-05-20,106.548,108.207,106.45,107.933,107.933,5517518.6432897
2021-05-21,108.148,108.727,107.127,107.46,107.46,5312194.0154364
2021-05-24,108.315,109.504,108.04,109.011,109.011,5611188.2325381
2021-05-25,109.395,109.621,108.688,109.121,109.121,5565299.2095471
2021-05-26,109.768,110.318,109.121,109.336,109.336,3965196.2104085
2021-05-27,109.925,110.535,109.248,109.965,109.965,7615811.5612477
2021-05-28,110.789,110.789,109.523,110.328,110.328,4376379.2133802
2021-06-01,110.995,111.055,109.571,109.808,109.808,4445486.2424101
2021-06-02,110.161,110.161,109.238,109.474,109.474,5207273.9709498
2021-06-03,108.521,108.747,106.715,107.647,107.647,5908038.2931639
2021-06-04,108.139,108.571,107.589,108.501,108.501,4621591.2632953
2021-06-07,108.491,108.777,107.53,107.854,107.854,4137997.9061385
2021-06-08,107.903,108.501,107.412,108.04,108.04,4820087.1856785
2021-06-09,108.247,108.698,107.854,107.913,107.913,3787785.3422064
2021-06-10,108.315,108.934,107.962,108.717,108.717,3956508.5569249
2021-06-11,108.787,109.317,108.688,109.051,109.051,3335133.0288084
2021-06-14,109.268,109.699,108.02,108.954,108.954,4358222.6389465
2021-06-15,108.964,109.002,108.08,108.404,108.404,3599508.0315887
2021-06-16,108.924,109.061,106.763,107.883,107.883,4977080.183781
2021-06-17,107.54,108.453,107.265,107.913,107.913,4137496.7541262
2021-06-18,107.294,107.304,105.851,106.283,106.283,7250335.2515713
2021-06-21,106.568,107.893,106.263,107.51,107.51,5809746.2896221
2021-06-22,107.598,108.767,107.157,108.364,108.364,3698834.9344083
2021-06-23,107.794,108.482,107.667,108.08,108.08,3666361.913766
2021-06-24,108.295,109.395,108.295,108.501,108.501,3963568.4849697
2021-06-25,109.238,109.69,108.727,109.513,109.513,12562778.824412
2021-06-28,109.405,109.523,107.962,108.747,108.747,4692833.2813863
2021-06-29,108.58,109.179,108.05,108.777,108.777,3911430.3408482
2021-06-30,108.845,109.081,107.794,108.324,108.324,6976564.6671599
