Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,248.89,260.89,247.0,260.68,260.68,1294525
2021-02-25,258.85,259.73,242.1276,244.09,244.09,1872579
2021-02-26,246.97,250.1236,243.09,245.21,245.21,1989598
2021-03-01,249.34,254.31,248.34,254.17,254.17,1266880
2021-03-02,256.0,257.23,246.2001,247.87,247.87,1001569
2021-03-03,245.74,246.035,235.945,236.93,236.93,1471637
2021-03-04,235.61,238.0,225.55,229.8,229.8,1549114
2021-03-05,230.1,231.63,217.8154,227.8,227.8,1602874
2021-03-08,226.63,226.77,217.69,218.49,218.49,1305767
2021-03-09,226.29,232.9449,226.135,228.4,228.4,1390326
2021-03-10,231.38,237.9145,228.1,228.84,228.84,1331823
2021-03-11,234.5,237.93,233.18,234.26,234.26,1059101
2021-03-12,230.77,230.84,226.8,229.45,229.45,1342836
2021-03-15,229.48,235.0,228.02,234.87,234.87,858235
2021-03-16,239.75,239.75,232.41,234.05,234.05,811323
2021-03-17,230.93,237.35,228.23,235.61,235.61,1001515
2021-03-18,231.415,233.44,227.15,227.39,227.39,1185100
2021-03-19,227.43,230.78,225.58,227.86,227.86,1328235
2021-03-22,230.78,237.19,230.78,234.43,234.43,1013173
2021-03-23,235.5,238.335,234.08,235.13,235.13,887020
2021-03-24,237.3,238.82,233.01,233.05,233.05,817338
2021-03-25,230.865,232.7,226.7,231.67,231.67,758068
2021-03-26,231.22,243.23,229.365,242.75,242.75,1258459
2021-03-29,241.72,243.15,237.605,240.46,240.46,1125641
2021-03-30,237.68,240.465,233.21,239.6,239.6,912699
2021-03-31,241.96,249.28,241.78,247.78,247.78,1306103
2021-04-01,251.79,257.4354,250.08,254.23,254.23,1000679
2021-04-05,255.18,260.43,255.18,260.11,260.11,1094314
2021-04-06,260.54,261.5,256.68,257.36,257.36,729875
2021-04-07,257.62,257.66,254.6,257.0,257.0,582245
2021-04-08,261.2,263.33,258.84,261.01,261.01,1080596
2021-04-09,259.85,262.58,258.34,261.85,261.85,579669
2021-04-12,259.66,260.325,257.03,258.05,258.05,880955
2021-04-13,261.1,263.7,259.55,261.93,261.93,704497
2021-04-14,262.1,264.31,257.63,258.59,258.59,713658
2021-04-15,262.32,263.85,260.09,262.13,262.13,904831
2021-04-16,261.89,262.02,257.71,260.77,260.77,639569
2021-04-19,258.62,258.855,247.4,250.64,250.64,1121658
2021-04-20,249.59,252.29,247.67,250.17,250.17,621215
2021-04-21,250.07,253.46,250.0,252.56,252.56,729754
2021-04-22,250.72,251.865,246.42,248.21,248.21,624247
2021-04-23,249.11,252.31,248.51,251.45,251.45,658899
2021-04-26,252.64,256.94,249.915,256.88,256.88,803208
2021-04-27,254.73,256.86,249.03,251.7,251.7,1049190
2021-04-28,250.1,252.5899,247.41,251.37,251.37,720872
2021-04-29,254.39,254.94,249.58,252.51,252.51,551386
2021-04-30,250.38,252.47,246.0,247.06,247.06,718896
2021-05-03,248.91,249.83,243.98,244.81,244.81,480189
2021-05-04,241.22,242.33,234.555,237.07,237.07,1243656
2021-05-05,240.69,241.82,236.59,237.46,237.46,914449
2021-05-06,235.79,239.08,232.75,237.46,237.46,847477
2021-05-07,240.23,245.22,239.62,241.84,241.84,617668
2021-05-10,239.88,239.88,230.71,232.39,232.39,1006065
2021-05-11,228.28,236.4,225.02,234.82,234.82,1286852
2021-05-12,231.52,235.19,227.8,228.54,228.54,1567680
2021-05-13,229.42,233.585,228.6,230.86,230.86,775397
2021-05-14,234.87,240.76,232.84,239.7,239.7,858353
2021-05-17,236.5,238.9,233.5,236.0,236.0,1265206
2021-05-18,237.33,239.97,234.63,235.03,235.03,999242
2021-05-19,229.73,237.74,229.04,237.36,237.36,992349
2021-05-20,238.5,246.38,238.5,244.71,244.71,1616647
2021-05-21,247.01,248.29,240.76,242.0,242.0,1106651
2021-05-24,245.0,249.58,244.0,248.58,248.58,959366
2021-05-25,249.78,256.06,249.05,255.83,255.83,1181661
2021-05-26,257.99,259.13,253.25,254.28,254.28,1038810
2021-05-27,253.87,256.17,251.75,254.62,254.62,1219472
2021-05-28,256.86,257.53,253.56,254.34,254.34,807220
2021-06-01,253.92,255.81,250.81,253.82,253.82,866920
2021-06-02,255.36,256.85,252.24,253.05,253.05,672627
2021-06-03,249.51,252.6,247.87,250.59,250.59,662729
2021-06-04,251.95,256.25,251.86,255.88,255.88,454867
2021-06-07,255.11,255.25,250.76,252.59,252.59,470006
2021-06-08,256.3,256.91,254.45,254.99,254.99,595651
2021-06-09,256.53,258.57,255.12,256.06,256.06,467655
2021-06-10,256.37,262.42,255.3,262.07,262.07,790634
2021-06-11,261.62,264.0,260.86,263.07,263.07,492944
2021-06-14,263.14,266.5,261.95,266.49,266.49,528133
2021-06-15,266.49,267.22,263.73,264.09,264.09,660262
2021-06-16,264.4,266.42,258.175,261.41,261.41,861613
2021-06-17,261.3,266.62,257.68,265.14,265.14,861684
2021-06-18,266.32,268.51,263.36,265.86,265.86,1376767
2021-06-21,265.29,267.39,262.58,264.8,264.8,861991
2021-06-22,265.13,268.91,264.32,268.46,268.46,499297
2021-06-23,268.61,270.58,267.505,268.86,268.86,543161
2021-06-24,272.2,274.31,271.52,273.8,273.8,802425
2021-06-25,273.45,275.29,267.54,268.97,268.97,2959143
2021-06-28,270.95,274.79,270.19,274.03,274.03,960763
2021-06-29,271.58,276.28,270.68,276.18,276.18,474188
2021-06-30,276.24,277.53,274.02,275.79,275.79,859463
2021-07-01,276.61,278.1,274.89,277.11,277.11,1011544
2021-07-02,279.0,280.96,278.89,279.16,279.16,535874
2021-07-06,279.95,281.19,275.95,279.29,279.29,686206
2021-07-07,281.29,282.465,276.82,279.86,279.86,544053
2021-07-08,276.66,280.03,275.36,278.86,278.86,867276
2021-07-09,278.93,281.34,276.3274,280.75,280.75,478541
2021-07-12,282.03,283.09,277.74,278.56,278.56,458233
2021-07-13,278.5,279.54,276.97,278.09,278.09,595021
2021-07-14,279.72,281.12,277.64,279.08,279.08,753368
2021-07-15,280.06,280.06,276.19,277.68,277.68,716485
