Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,363.746,369.298,362.753,368.878,368.878,76930755
2021-02-25,367.585,368.972,358.512,359.985,359.985,155776027
2021-02-26,361.881,363.049,356.119,358.13,358.13,162181590
2021-03-01,363.049,368.074,358.321,366.809,366.809,111889012
2021-03-02,367.038,367.259,363.439,363.948,363.948,84536731
2021-03-03,363.241,364.217,359.018,359.125,359.125,127386282
2021-03-04,358.934,361.545,350.145,354.683,354.683,194820822
2021-03-05,358.225,362.272,350.864,361.202,361.202,161478475
2021-03-08,362.178,365.022,359.125,359.414,359.414,130794539
2021-03-09,363.297,367.116,359.421,364.533,364.533,120688101
2021-03-10,366.918,368.523,365.48,366.809,366.809,116722132
2021-03-11,369.298,372.525,368.849,370.524,370.524,91599263
2021-03-12,369.146,371.173,368.331,371.031,371.031,68667357
2021-03-15,371.279,373.5,369.117,373.233,373.233,78161024
2021-03-16,373.864,374.572,371.979,372.774,372.774,78299312
2021-03-17,371.469,374.849,370.304,374.045,374.045,104040726
2021-03-18,371.422,373.528,367.911,368.599,368.599,122510149
2021-03-19,368.293,369.892,365.719,367.92,367.92,120283896
2021-03-22,368.437,372.248,368.378,370.859,370.859,78102730
2021-03-23,370.207,371.682,367.136,367.938,367.938,96001590
2021-03-24,369.345,371.013,366.014,366.063,366.063,103308207
2021-03-25,364.607,368.933,362.646,368.131,368.131,122934793
2021-03-26,369.278,374.467,368.685,374.055,374.055,121114506
2021-03-29,372.562,374.782,371.07,373.874,373.874,114443694
2021-03-30,372.581,373.557,371.259,372.879,372.879,80731894
2021-03-31,373.454,375.969,373.425,374.391,374.391,119341442
2021-04-01,376.343,378.487,376.142,378.428,378.428,105525179
2021-04-05,381.12,384.412,381.042,383.856,383.856,97058306
2021-04-06,383.29,384.699,382.947,383.637,383.637,65655932
2021-04-07,383.464,384.431,382.994,384.077,384.077,59108783
2021-04-08,385.349,385.95,384.403,385.895,385.895,61254408
2021-04-09,385.771,388.872,385.646,388.699,388.699,64685830
2021-04-12,388.105,389.121,387.493,388.843,388.843,60028312
2021-04-13,388.738,390.641,388.363,390.002,390.002,59865378
2021-04-14,389.973,391.044,388.124,388.66,388.66,65273725
2021-04-15,390.833,393.121,390.786,392.843,392.843,63759846
2021-04-16,394.155,394.769,392.708,394.164,394.164,86845392
2021-04-19,393.216,393.665,390.88,392.221,392.221,83099206
2021-04-20,390.997,392.107,387.867,389.349,389.349,86649072
2021-04-21,388.718,393.243,388.583,393.034,393.034,70707647
2021-04-22,392.863,393.703,388.372,389.447,389.447,103302008
2021-04-23,390.012,395.093,389.933,393.665,393.665,77570832
2021-04-26,394.327,395.064,393.733,394.491,394.491,55240744
2021-04-27,394.788,394.988,393.253,394.403,394.403,54309872
2021-04-28,394.68,395.812,393.821,394.287,394.287,54241906
2021-04-29,397.055,397.429,393.389,396.805,396.805,83147725
2021-04-30,394.51,395.37,393.293,394.202,394.202,90539674
2021-05-03,396.201,396.593,394.546,395.045,395.045,72121213
2021-05-04,393.034,393.533,388.872,392.612,392.612,107545311
2021-05-05,394.278,394.51,392.164,392.728,392.728,42302711
2021-05-06,392.805,396.0,390.766,395.867,395.867,78677260
2021-05-07,396.643,399.399,395.953,398.748,398.748,71703592
2021-05-10,399.102,399.332,394.68,394.797,394.797,86649727
2021-05-11,390.231,392.277,387.358,391.283,391.283,123738650
2021-05-12,388.471,389.744,381.635,382.957,382.957,142712173
2021-05-13,384.536,389.521,384.488,387.569,387.569,112629596
2021-05-14,390.336,394.374,390.308,393.513,393.513,87019375
2021-05-17,392.393,393.34,390.479,392.519,392.519,68946374
2021-05-18,392.776,393.024,388.967,389.131,389.131,63315651
2021-05-19,384.393,388.296,382.879,388.115,388.115,112706969
2021-05-20,388.996,393.551,388.872,392.287,392.287,82595014
2021-05-21,393.792,395.045,391.504,391.963,391.963,81066853
2021-05-24,394.24,397.055,393.991,395.962,395.962,54387833
2021-05-25,397.065,397.42,394.5,395.083,395.083,60818559
2021-05-26,395.675,396.375,394.632,395.867,395.867,45613994
2021-05-27,396.91,397.429,395.782,396.08,396.08,60031252
2021-05-28,397.668,397.925,396.548,396.787,396.787,61949965
2021-06-01,399.171,399.313,395.991,396.433,396.433,57394201
2021-06-02,397.104,397.905,396.08,397.065,397.065,51974585
2021-06-03,394.72,396.739,393.233,395.591,395.591,61546212
2021-06-04,397.455,399.504,395.647,399.2,399.2,59217300
2021-06-07,399.19,399.37,397.866,398.814,398.814,54576615
2021-06-08,399.687,399.781,397.055,398.893,398.893,49896767
2021-06-09,399.752,399.83,398.079,398.309,398.309,51275143
2021-06-10,399.542,401.123,398.212,400.156,400.156,54010381
2021-06-11,400.72,400.93,399.409,400.826,400.826,48241685
2021-06-14,400.93,401.812,399.677,401.705,401.705,44841061
2021-06-15,401.859,401.897,400.088,400.979,400.979,54527364
2021-06-16,401.123,401.352,396.671,398.738,398.738,85097422
2021-06-17,398.328,399.6,396.109,398.605,398.605,96280118
2021-06-18,395.294,395.991,393.024,393.233,393.233,125220926
2021-06-21,395.017,399.043,394.194,398.863,398.863,76837933
2021-06-22,398.854,401.832,398.124,400.998,400.998,60882292
2021-06-23,401.074,401.879,400.433,400.519,400.519,52172173
2021-06-24,402.683,403.314,402.424,402.883,402.883,47597977
2021-06-25,403.649,404.771,403.314,404.308,404.308,61335185
2021-06-28,404.836,405.296,403.639,405.122,405.122,56091164
2021-06-29,405.515,406.166,404.799,405.342,405.342,37954176
2021-06-30,404.873,406.376,404.844,405.687,405.687,68402909
2021-07-01,406.463,408.092,406.395,407.927,407.927,56388131
2021-07-02,409.114,411.411,408.022,411.047,411.047,60879512
2021-07-06,411.106,411.326,407.525,410.301,410.301,72499582
2021-07-07,410.99,412.042,408.961,411.754,411.754,67054008
2021-07-08,406.376,409.171,405.171,408.396,408.396,102977301
2021-07-09,409.926,413.067,408.204,412.761,412.761,80442901
2021-07-12,412.674,414.495,412.243,414.236,414.236,55806279
2021-07-13,413.432,414.962,412.56,412.828,412.828,55829203
2021-07-14,414.54,415.037,412.186,413.432,413.432,67666939
2021-07-15,412.091,412.771,410.099,412.032,412.032,58166404
2021-07-16,413.22,413.267,408.396,408.798,408.798,80058911
2021-07-19,403.927,408.865,399.917,402.76,402.76,156148016
2021-07-20,403.439,409.822,402.624,408.53,408.53,105101250
2021-07-21,409.747,411.985,408.482,411.842,411.842,68293735
2021-07-22,412.022,412.953,411.018,412.702,412.702,50518889
2021-07-23,414.656,417.287,413.958,416.943,416.943,67283166
2021-07-26,416.35,417.976,416.301,417.966,417.966,46130163
2021-07-27,416.913,416.943,413.201,416.073,416.073,71113876
2021-07-28,416.695,417.287,414.456,415.899,415.899,55366045
2021-07-29,416.828,418.714,416.819,417.623,417.623,50051251
2021-07-30,415.028,417.057,414.896,415.592,415.592,72753644
2021-08-02,417.325,417.881,414.358,414.724,414.724,62025011
2021-08-03,415.527,418.215,413.307,418.093,418.093,61255386
2021-08-04,416.791,418.064,415.805,416.043,416.043,49309346
2021-08-05,417.211,418.761,416.884,418.677,418.677,41118712
2021-08-06,419.0,419.787,418.714,419.356,419.356,49518049
2021-08-09,419.337,419.651,418.243,419.029,419.029,43495880
2021-08-10,419.47,420.265,418.79,419.536,419.536,45729300
2021-08-11,420.619,420.674,419.478,420.581,420.581,46462695
2021-08-12,420.436,421.988,419.517,421.853,421.853,41089969
2021-08-13,422.314,422.629,421.814,422.609,422.609,41646911
2021-08-16,421.297,423.738,419.718,423.604,423.604,78007918
2021-08-17,421.021,421.71,417.805,420.829,420.829,97784609
2021-08-18,419.804,421.385,415.986,416.233,416.233,94279408
2021-08-19,413.46,418.083,413.325,416.865,416.865,97930548
2021-08-20,417.22,420.514,416.725,420.187,420.187,75979766
2021-08-23,421.9,424.808,420.265,423.882,423.882,58004628
2021-08-24,424.56,425.106,424.034,424.56,424.56,40881363
2021-08-25,424.754,425.959,424.37,425.442,425.442,42764797
2021-08-26,425.174,425.404,422.839,422.935,422.935,61018691
2021-08-27,423.748,427.099,423.689,426.715,426.715,81494387
2021-08-30,427.405,429.386,427.155,428.59,428.59,51024112
2021-08-31,428.505,428.83,427.357,427.968,427.968,62570433
2021-09-01,428.896,429.426,427.948,428.199,428.199,51408207
2021-09-02,429.624,430.325,428.294,429.501,429.501,45192854
2021-09-03,428.361,429.921,427.958,429.396,429.396,49839190
2021-09-07,429.04,429.136,427.183,427.874,427.874,54521057
2021-09-08,427.327,428.075,425.404,427.347,427.347,59280163
2021-09-09,427.147,428.905,425.28,425.508,425.508,61167293
2021-09-10,427.47,427.901,422.046,422.167,422.167,94908532
2021-09-13,425.204,425.452,420.894,423.23,423.23,88356571
2021-09-14,424.706,424.916,420.054,420.953,420.953,82509466
2021-09-15,421.385,424.984,420.265,424.475,424.475,83137364
2021-09-16,423.94,424.936,420.811,423.796,423.796,82076427
2021-09-17,423.02,423.441,419.307,419.67,419.67,124556210
2021-09-20,413.469,415.075,407.746,412.674,412.674,175062854
2021-09-21,415.047,416.35,411.754,412.292,412.292,97316429
2021-09-22,414.588,418.37,412.396,416.301,416.301,107649077
2021-09-23,418.196,422.991,417.956,421.366,421.366,80351200
2021-09-24,419.708,422.781,419.488,422.065,422.065,65309648
2021-09-27,421.011,422.197,420.147,420.848,420.848,64548450
2021-09-28,418.045,418.379,411.633,412.377,412.377,137189333
2021-09-29,413.766,415.527,412.492,413.067,413.067,86591611
2021-09-30,414.558,415.268,407.669,408.012,408.012,147780341
2021-10-01,409.766,414.568,406.203,412.864,412.864,135931203
2021-10-04,411.689,412.598,405.371,407.535,407.535,135226359
2021-10-05,409.066,414.053,408.25,411.783,411.783,95377390
2021-10-06,408.138,413.698,406.502,413.486,413.486,118884219
2021-10-07,416.81,419.938,416.627,417.067,417.067,76187777
2021-10-08,417.842,418.234,415.668,416.301,416.301,78417436
2021-10-11,415.64,418.588,413.22,413.287,413.287,68610581
2021-10-12,414.227,414.636,411.476,412.283,412.283,74866397
2021-10-13,413.307,414.588,410.292,413.756,413.756,76752033
2021-10-14,417.469,420.866,416.992,420.714,420.714,73873168
2021-10-15,422.858,424.293,422.235,423.92,423.92,69690673
2021-10-18,422.12,425.517,421.451,425.184,425.184,65434168
2021-10-19,426.819,428.525,426.199,428.467,428.467,49429975
2021-10-20,428.915,430.447,428.801,430.14,430.14,52138018
2021-10-21,429.527,431.49,429.089,431.27,431.27,43443928
2021-10-22,430.829,432.286,428.84,430.82,430.82,61891652
2021-10-25,431.91,433.462,430.121,433.125,433.125,47555380
2021-10-26,434.688,435.921,433.135,433.518,433.518,58978270
2021-10-27,433.988,434.658,431.52,431.587,431.587,76188301
2021-10-28,433.041,435.837,433.032,435.76,435.76,54101021
2021-10-29,433.433,436.937,433.135,436.649,436.649,73794916
2021-11-01,437.646,438.019,435.645,437.398,437.398,50941178
2021-11-02,437.569,439.474,437.434,439.168,439.168,51440534
2021-11-03,438.592,442.248,438.142,441.847,441.847,55228395
2021-11-04,442.45,444.01,442.105,443.924,443.924,55583119
2021-11-05,446.182,447.484,443.933,445.463,445.463,69827775
2021-11-08,446.587,447.081,445.157,445.848,445.848,53014803
2021-11-09,446.22,446.459,442.947,444.374,444.374,53797272
2021-11-10,442.66,444.374,439.3,440.802,440.802,73024206
2021-11-11,442.306,442.383,440.918,440.938,440.938,36652693
2021-11-12,442.22,444.832,441.263,444.268,444.268,56234762
2021-11-15,445.57,445.733,443.282,444.422,444.422,49412802
2021-11-16,444.154,447.322,444.078,446.182,446.182,51386981
2021-11-17,445.913,446.095,444.471,445.091,445.091,50336038
2021-11-18,446.142,446.881,443.39,446.613,446.613,53246627
2021-11-19,446.498,447.752,445.433,445.809,445.809,60282950
2021-11-22,447.703,450.231,444.344,444.554,444.554,76529030
2021-11-23,444.221,446.011,441.589,445.138,445.138,76996631
2021-11-24,443.12,446.459,442.288,446.338,446.338,65061405
2021-11-26,439.576,441.062,435.233,436.382,436.382,118502837
2021-11-29,441.224,443.598,439.003,441.733,441.733,90735179
2021-11-30,439.26,441.186,432.887,433.135,433.135,156250915
2021-12-01,438.919,441.798,428.131,428.331,428.331,139344973
2021-12-02,428.544,436.477,428.15,434.88,434.88,134245897
2021-12-03,436.573,437.646,426.819,431.109,431.109,144441664
2021-12-06,433.683,438.104,431.242,436.208,436.208,104101857
2021-12-07,441.549,445.799,436.076,445.224,445.224,100428179
2021-12-08,445.628,446.872,443.857,446.409,446.409,75978767
2021-12-09,445.101,446.518,443.197,443.4,443.4,64444808
2021-12-10,446.132,447.713,443.55,447.561,447.561,81154520
2021-12-13,447.043,447.399,443.321,443.608,443.608,92266416
2021-12-14,440.296,442.813,437.598,440.553,440.553,102299745
2021-12-15,440.612,447.673,438.058,447.435,447.435,122951429
2021-12-16,449.312,449.6,441.924,443.492,443.492,122603687
2021-12-17,440.382,443.427,437.052,438.773,438.773,142157189
2021-12-20,433.636,434.515,430.447,434.113,434.113,112285292
2021-12-21,437.578,441.961,435.377,441.818,441.818,73162173
2021-12-22,441.559,446.356,441.358,446.24,446.24,61721350
2021-12-23,447.245,450.528,447.139,449.015,449.015,59153067
2021-12-27,450.403,455.419,450.355,455.37,455.37,59539674
2021-12-28,455.813,456.844,454.223,454.998,454.998,49547294
2021-12-29,455.101,456.604,454.088,455.58,455.58,57123175
