DATE,Open,High,Low,Close,Adj Close,Volume
2021-02-24,21.34,21.34,21.34,21.34,21.34,0
2021-02-25,28.89,28.89,28.89,28.89,28.89,0
2021-02-26,27.95,27.95,27.95,27.95,27.95,0
2021-03-01,23.35,23.35,23.35,23.35,23.35,0
2021-03-02,24.1,24.1,24.1,24.1,24.1,0
2021-03-03,26.67,26.67,26.67,26.67,26.67,0
2021-03-04,28.57,28.57,28.57,28.57,28.57,0
2021-03-05,24.66,24.66,24.66,24.66,24.66,0
2021-03-08,25.47,25.47,25.47,25.47,25.47,0
2021-03-09,24.03,24.03,24.03,24.03,24.03,0
2021-03-10,22.56,22.56,22.56,22.56,22.56,0
2021-03-11,21.91,21.91,21.91,21.91,21.91,0
2021-03-12,20.69,20.69,20.69,20.69,20.69,0
2021-03-15,20.03,20.03,20.03,20.03,20.03,0
2021-03-16,19.79,19.79,19.79,19.79,19.79,0
2021-03-17,19.23,19.23,19.23,19.23,19.23,0
2021-03-18,21.58,21.58,21.58,21.58,21.58,0
2021-03-19,20.95,20.95,20.95,20.95,20.95,0
2021-03-22,18.88,18.88,18.88,18.88,18.88,0
2021-03-23,20.3,20.3,20.3,20.3,20.3,0
2021-03-24,21.2,21.2,21.2,21.2,21.2,0
2021-03-25,19.81,19.81,19.81,19.81,19.81,0
2021-03-26,18.86,18.86,18.86,18.86,18.86,0
2021-03-29,20.74,20.74,20.74,20.74,20.74,0
2021-03-30,19.61,19.61,19.61,19.61,19.61,0
2021-03-31,19.4,19.4,19.4,19.4,19.4,0
2021-04-01,17.33,17.33,17.33,17.33,17.33,0
2021-04-02,,,,,,0
2021-04-05,17.91,17.91,17.91,17.91,17.91,0
2021-04-06,18.12,18.12,18.12,18.12,18.12,0
2021-04-07,17.16,17.16,17.16,17.16,17.16,0
2021-04-08,16.95,16.95,16.95,16.95,16.95,0
2021-04-09,16.69,16.69,16.69,16.69,16.69,0
2021-04-12,16.91,16.91,16.91,16.91,16.91,0
2021-04-13,16.65,16.65,16.65,16.65,16.65,0
2021-04-14,16.99,16.99,16.99,16.99,16.99,0
2021-04-15,16.57,16.57,16.57,16.57,16.57,0
2021-04-16,16.25,16.25,16.25,16.25,16.25,0
2021-04-19,17.29,17.29,17.29,17.29,17.29,0
2021-04-20,18.68,18.68,18.68,18.68,18.68,0
2021-04-21,17.5,17.5,17.5,17.5,17.5,0
2021-04-22,18.71,18.71,18.71,18.71,18.71,0
2021-04-23,17.33,17.33,17.33,17.33,17.33,0
2021-04-26,17.64,17.64,17.64,17.64,17.64,0
2021-04-27,17.56,17.56,17.56,17.56,17.56,0
2021-04-28,17.28,17.28,17.28,17.28,17.28,0
2021-04-29,17.61,17.61,17.61,17.61,17.61,0
2021-04-30,18.61,18.61,18.61,18.61,18.61,0
2021-05-03,18.31,18.31,18.31,18.31,18.31,0
2021-05-04,19.48,19.48,19.48,19.48,19.48,0
2021-05-05,19.15,19.15,19.15,19.15,19.15,0
2021-05-06,18.39,18.39,18.39,18.39,18.39,0
2021-05-07,16.69,16.69,16.69,16.69,16.69,0
2021-05-10,19.66,19.66,19.66,19.66,19.66,0
2021-05-11,21.84,21.84,21.84,21.84,21.84,0
2021-05-12,27.59,27.59,27.59,27.59,27.59,0
2021-05-13,23.13,23.13,23.13,23.13,23.13,0
2021-05-14,18.81,18.81,18.81,18.81,18.81,0
2021-05-17,19.72,19.72,19.72,19.72,19.72,0
2021-05-18,21.34,21.34,21.34,21.34,21.34,0
2021-05-19,22.18,22.18,22.18,22.18,22.18,0
2021-05-20,20.67,20.67,20.67,20.67,20.67,0
2021-05-21,20.15,20.15,20.15,20.15,20.15,0
2021-05-24,18.4,18.4,18.4,18.4,18.4,0
2021-05-25,18.84,18.84,18.84,18.84,18.84,0
2021-05-26,17.36,17.36,17.36,17.36,17.36,0
2021-05-27,16.74,16.74,16.74,16.74,16.74,0
2021-05-28,16.76,16.76,16.76,16.76,16.76,0
2021-05-31,,,,,,0
2021-06-01,17.9,17.9,17.9,17.9,17.9,0
2021-06-02,17.48,17.48,17.48,17.48,17.48,0
