Date,Open,High,Low,Close,Adj Close,Volume
2021-02-24,215.82,220.415,214.72,217.04,217.04,1775785
2021-02-25,215.8,217.4,210.5,212.98,212.98,1830557
2021-02-26,214.67,215.5,209.34,212.55,212.55,3083421
2021-03-01,212.68,213.69,209.38,210.38,210.38,1845531
2021-03-02,211.81,214.13,211.45,212.06,212.06,2491514
2021-03-03,212.0,213.275,208.06,208.44,208.44,2478417
2021-03-04,207.3,213.1,205.8501,207.79,207.79,2273296
2021-03-05,208.23,212.6,206.39,211.98,211.98,1704848
2021-03-08,212.27,219.3,211.76,213.58,213.58,3426563
2021-03-09,217.29,219.13,213.86,214.04,214.04,2276742
2021-03-10,217.3,217.72,211.56,214.29,214.29,1938935
2021-03-11,214.71,217.68,214.31,215.15,215.15,1625655
2021-03-12,214.34,214.9,211.26,214.33,214.33,1162690
2021-03-15,213.71,219.85,213.4784,219.65,219.65,1577824
2021-03-16,220.6318,220.6318,216.715,218.99,218.99,1367475
2021-03-17,217.16,217.88,214.15,217.08,217.08,1195494
2021-03-18,214.13,216.25,212.65,213.36,213.36,1620825
2021-03-19,214.44,216.93,213.28,216.11,216.11,2098616
2021-03-22,215.84,220.33,215.25,218.82,218.82,1934448
2021-03-23,219.83,219.85,212.11,213.59,213.59,1620721
2021-03-24,213.61,214.51,209.41,211.54,211.54,1522197
2021-03-25,213.1606,213.6,209.71,212.36,212.36,2292300
2021-03-26,212.5,214.96,209.22,214.64,214.64,2848429
2021-03-29,213.93,218.46,212.21,216.71,216.71,1531539
2021-03-30,214.75,215.495,212.37,212.99,212.99,1272545
2021-03-31,213.38,216.06,212.87,214.89,214.89,1523314
2021-04-01,215.89,216.02,212.3,213.04,213.04,2071471
2021-04-05,214.38,215.61,213.18,215.32,215.32,2050057
2021-04-06,215.5,216.46,213.15,215.3,215.3,1925989
2021-04-07,215.71,218.47,211.7,212.72,212.72,1515559
2021-04-08,214.18,216.05,209.95,210.28,210.28,2259364
2021-04-09,210.5,213.82,209.53,213.35,213.35,1533672
2021-04-12,212.68,214.45,211.21,213.6,213.6,1467994
2021-04-13,214.61,218.7,214.455,215.94,215.94,1628857
2021-04-14,216.16,220.25,216.16,217.13,217.13,1564724
2021-04-15,218.52,222.35,218.0,221.1,221.1,1686741
